province,year,co2_actual,log_Population,log_pGDP,Industry,Urbanization,EnergyIntensity,model,split,log_co2_pred,co2_pred,abs_pct_err,CoalShare,OilShare,GasShare,NonFossilShare,log_Energy
Hunan,2012,281.002,8.793308627496552,1.2124751003987821,47.42401,46.22,0.5283101572024845,structure_drivers,train,5.636246625804264,280.40826369029725,0.0021129255653082996,50.58719110243564,16.019361863959478,2.0374469515243234,31.356000082080577,
Hunan,2013,290.132,8.794824928014517,1.3165573004551887,47.0,47.63,0.4441052101583686,structure_drivers,train,5.62569705209608,277.46562512665383,0.04365728314472782,46.15847766160566,20.052482905445963,2.39615270923284,31.39288672371553,
Hunan,2014,270.792,8.796490207333578,1.4084832054853258,46.2,48.98,0.4192898280007042,structure_drivers,train,5.677852240884243,292.3209202992176,0.07950353148991716,46.39730370189392,19.706091799996567,2.7582034821438235,31.13840101596569,
Hunan,2015,284.579,8.797095076549056,1.4745784001537454,44.32471,50.79,0.39353077693470406,structure_drivers,train,5.705154749347111,300.4119650072005,0.05563644895512484,50.66499822667432,21.89377577869195,2.9876707249241456,24.45355526970958,
Hunan,2016,282.569,8.798605650854423,1.5607666393100554,42.28396,52.7,0.37890941825526187,structure_drivers,train,5.749328621679567,313.9797902825908,0.11116148722114162,51.729001091641024,22.12407490937081,3.040825277793337,23.106098721194822,
Hunan,2017,299.535,8.799812469525556,1.6314451356654158,41.72347,54.62,0.36462671861203244,structure_drivers,train,5.818286283180967,336.39507348571766,0.12305765097807479,54.99751567534147,21.18052077628048,2.820741150181551,21.0012223981965,
Hunan,2018,281.568,8.800113946766308,1.7029180979319285,39.68,56.09,0.31955130177033964,structure_drivers,train,5.785232032325123,325.4575480237518,0.1558754830937885,48.13092925839193,24.550233946286717,3.383300687519667,23.935536107801685,
Hunan,2019,283.068,8.80086724247048,1.7895512095231603,37.6,57.45,0.3009303934129802,structure_drivers,train,5.801586388962738,330.8239593266335,0.16870843516975959,45.92975694207557,25.422223113839525,3.4710285995104444,25.176991344574468,
Hunan,2020,277.741,8.801619971147346,1.8385887263239507,38.1,58.76,0.28974500569031886,structure_drivers,train,5.836495251237812,342.5765893480422,0.233439028980389,45.38401404469791,25.472648639183127,3.6079034499701863,25.53543386614876,
Hunan,2021,266.137,8.798152718107191,1.939614756519856,39.35057,59.71,0.27121752820804507,structure_drivers,valid,5.763470725675514,318.45167150326125,0.1965704562058686,35.65966027641342,33.15760749130078,4.286022984670568,26.896709247615224,
Hunan,2022,258.977,8.795430805040018,1.9973955163688721,39.4,60.31,0.257189667937802,structure_drivers,valid,5.7914261680954064,327.479732641232,0.26451280477120365,35.17334372145034,33.05818821868943,4.704796246626006,27.06367181323424,
Hunan,2023,266.431,8.789964651132264,2.0300716000017425,37.48735084917441,62.67926270614705,0.2483482607697472,structure_drivers,valid,5.821689044149837,337.54169524540646,0.2669009809121554,37.16375033503002,33.7847731410395,3.4949477862863265,24.887313301546445,
InnerMongolia,1990,65.432,7.679251425953058,-1.9131203262323224,22.843211453678418,17.79819067819071,1.544402542977829,structure_drivers,train,4.204801910616612,67.00732291227602,0.024075726132106946,86.98740660101336,3.025040863431702,4.177642623016881e-06,14.155589186573293,
InnerMongolia,1991,69.235,7.688913336864796,-1.8037541961277448,25.066988934379,19.471238424300434,1.6862532579171972,structure_drivers,train,4.279241969342409,72.18570028889549,0.04261862192381729,85.62070896774605,3.5533787497642817,1.3080046484788544e-05,14.471534529420174,
InnerMongolia,1992,74.399,7.699389406256737,-1.6550952455042223,27.306846346484257,21.22012614848535,1.758243865509607,structure_drivers,train,4.368488628873571,78.92425766884057,0.060824173293197045,84.18379627976692,4.135634847310512,3.906663950999671e-05,14.80748846381748,
InnerMongolia,1993,80.469,7.710653323501202,-1.4231479855663447,29.53819414054844,23.037854136069924,1.675459228101687,structure_drivers,train,4.488299579772993,88.97003074059201,0.10564354895167102,82.68312150993148,4.769148188528468,0.0001113067396447,15.164312873306418,
InnerMongolia,1994,83.784,7.723120092266331,-1.1982077433560794,31.73724384029857,24.916351521352365,1.5963260074370595,structure_drivers,train,4.605895671386673,100.07257486267655,0.19441152084737587,81.12629009937042,5.449454250378705,0.0003025207661533,15.5429162374492,
InnerMongolia,1995,82.533,7.7336835707759,-0.9801756429602122,33.881709126805326,26.846626260367675,1.5252756111174128,structure_drivers,train,4.7192659574798155,112.08594661270396,0.35807430497745096,79.52191599002782,6.170253363262329,0.0007843438565722,15.94425385724528,
InnerMongolia,1996,89.746,7.7437032581737535,-0.8512849922018544,39.3,28.81894615472993,1.58466374882483,structure_drivers,train,4.819846342107784,123.9460440286456,0.3810759702788493,77.87944295633673,6.923469494256564,0.0019398748870997,16.36932778519031,
InnerMongolia,1997,98.057,7.75190533307861,-0.7538341430985424,40.7,30.82304295223213,2.394334496400249,structure_drivers,train,4.863368373620761,129.45953659919917,0.3202477803644734,73.73527862247258,9.147748233178383,0.0045767095184896,17.11697314434901,
InnerMongolia,1998,94.848,7.76004068088038,-0.6764095742543508,40.2,32.848330231778135,1.9743723917838782,structure_drivers,train,4.929048661495613,138.2479291816399,0.45757347737052867,75.33683688883032,8.947199473427393,0.010300028130208,15.715963637742306,
InnerMongolia,1999,100.9,7.767263996757308,-0.6219101454913764,40.64501,34.88412518018647,1.9335765399779217,structure_drivers,train,4.981047339409319,145.62682252129161,0.44327871676205755,73.51463021423307,8.269774720670059,0.0221113809108229,18.21559506509686,
InnerMongolia,2000,109.492,7.771488760117616,-0.5265400760473389,39.70564,36.91986451627844,1.844665433508683,structure_drivers,train,5.020572395420255,151.4979957395887,0.38364442826497547,72.1947541249406,9.23813820871687,0.0051462727044831,18.561961393638025,
InnerMongolia,2001,117.849,7.7752758464868625,-0.32880160528228836,40.5,38.94530567144382,1.6146248866560469,structure_drivers,train,5.111897598748809,165.98502920023148,0.4084551349628039,70.90254342358068,9.822652278554662,0.0672891995261899,19.207515098338487,
InnerMongolia,2002,128.123,7.776535028185241,-0.20560735739509464,42.0,40.95070576508223,1.5653066230795387,structure_drivers,train,5.18334412333475,178.2779988639413,0.39145976026116547,69.38984033611327,9.888477277551948,0.0831751722214928,20.63850721411331,
InnerMongolia,2003,150.88,7.777373602657861,0.0009969881731829208,45.29059,42.92697274889324,1.50805893241444,structure_drivers,train,5.305648490831113,201.47161255285025,0.3353102634732917,68.14202575071793,9.392586311764047,0.7532863003989272,21.7121016371191,
InnerMongolia,2004,198.302,7.780303087908373,0.23966161824789844,49.13108,44.86578513229689,1.8331704216607974,structure_drivers,train,5.399536358271121,221.30378674408183,0.11599372040666177,67.5561751211558,12.436136452483836,1.054495309070119,18.953193117290237,
InnerMongolia,2005,224.831,7.784473235736469,0.4855475089661942,45.5,47.2,1.5606313876000955,structure_drivers,train,5.452108594222748,233.24947623661564,0.037443574225154215,63.9203768414836,15.136891187414086,1.3858003106789845,19.55693166042333,
InnerMongolia,2006,279.833,7.789454566086673,0.7165259981154614,48.6,48.64,1.3637300769872076,structure_drivers,train,5.544869753749404,255.92124329005546,0.08545009598562202,58.06026290685514,16.287708745511264,2.836019395955344,22.81600895167823,
InnerMongolia,2007,331.125,7.795234929002173,0.972433672150663,51.8,50.15,1.171747847088794,structure_drivers,train,5.658642992451481,286.7592439487391,0.13398491823710357,52.934101246049536,16.647590287497835,3.937425011788457,26.480883454664177,
InnerMongolia,2008,398.485,7.8013913202914855,1.2459829634028035,55.0,51.71,1.056767956498199,structure_drivers,train,5.8171786332143105,336.02267177723235,0.15674950932348186,55.97389964235757,16.16422517700615,4.205451902284006,23.65642327835228,
InnerMongolia,2009,429.141,7.80710329012598,1.3769187735323292,52.5,53.4,1.0895928132440138,structure_drivers,train,5.893992249487878,362.85098831901627,0.1544714014297952,56.3809839447095,14.915211511893872,5.295985650475235,23.407818892921377,
InnerMongolia,2010,461.94,7.812782818577581,1.5521652716250403,54.6,55.5,0.9677833290305969,structure_drivers,train,5.962299643520357,388.50251504550715,0.1589762414047124,51.937579204962894,16.31836669867817,4.982721448497395,26.761332647861536,
InnerMongolia,2011,574.222,7.8119734296220225,1.7602200563993151,56.0,57.04,0.913701071638482,structure_drivers,train,6.0811551240361315,437.5343093245481,0.23803980111429363,57.29613658523566,15.99116442997233,3.691787010881817,23.02091197391017,
InnerMongolia,2012,600.829,7.80954132465341,1.863310933410205,55.42302,58.42,0.8108048229984285,structure_drivers,train,6.123800220032074,456.5965690914404,0.2400557078778813,54.14547567977619,15.50148580511895,3.803521373723976,26.549517141380885,
InnerMongolia,2013,568.788,7.805882040228621,1.930162715742021,54.0,59.82,0.776096774864777,structure_drivers,train,6.195465713802028,490.5198336687196,0.1376051645451036,55.29509234005131,12.61058516435885,4.335797775379153,27.758524720210705,
InnerMongolia,2014,575.395,7.803435056952168,1.981842556317196,51.3,60.97,0.7386947609052097,structure_drivers,train,6.2106454036204095,498.0225731562651,0.13446836841428045,53.33993221850416,11.89419805728638,4.334463308890348,30.431406415319127,
InnerMongolia,2015,570.117,7.799753318287247,1.988969009292703,50.47569,62.09,0.7658084609484176,structure_drivers,train,6.237054412631052,511.3500641125709,0.10307872925632641,54.73515676753296,10.526632511434068,3.551076703905979,31.187134017127,
InnerMongolia,2016,573.037,7.798112628829788,2.0071058707511167,47.18437,63.4,0.7719516401798411,structure_drivers,train,6.22660455100618,506.03434931550174,0.116925522583181,54.39829312214079,11.061144013603885,2.7765356658898743,31.764027198365447,
InnerMongolia,2017,618.501,7.796880342783522,1.8894587767505173,39.75892,64.6,0.8654443165813566,structure_drivers,train,6.131631345022258,460.1862712519239,0.2559651944751521,50.25123002332246,11.80900372390828,3.471464719050369,34.468301533718915,
InnerMongolia,2018,725.818,7.792348924113037,1.9654895407647317,39.37,65.51,0.9427354362544986,structure_drivers,train,6.189287471078394,487.4986255641776,0.3283459137632608,51.43162343493535,10.199429825608489,3.77967936030686,34.589267379149284,
InnerMongolia,2019,797.256,7.789454566086673,1.9639383198681082,39.6,66.46,1.0348117555989738,structure_drivers,train,6.204450063572559,494.94669186758284,0.37918724742418636,51.67964847481211,9.847526415353904,3.7387219561668217,34.73410315366714,
InnerMongolia,2020,835.078,7.784473235736469,1.9774403837605228,39.6,67.48,1.1023480997959656,structure_drivers,train,6.228153726526462,506.8188928828224,0.3930879595884188,50.6416942995372,9.010642636030324,4.495289611482928,35.85237345294954,
InnerMongolia,2021,836.696,7.783224016336037,2.145648591923201,45.69613,68.21,0.9179238188961789,structure_drivers,valid,6.307598078957524,548.7253696720438,0.34417593764994237,46.28840661084119,9.979763718100235,4.956827211064068,38.77500245999453,
InnerMongolia,2022,857.753,7.783640596221253,2.2664808845884745,48.5,68.6,0.8512523184043943,structure_drivers,valid,6.3750710396034265,587.0271316351229,0.31562217604004544,45.167039599690575,9.669901207870105,5.565219975129515,39.59783921730979,
InnerMongolia,2023,904.02,7.78155595923534,2.330042721781036,38.57321274850518,69.57308304806693,0.7951527716333789,structure_drivers,valid,6.390935784858821,596.4144342285248,0.34026411558535785,48.72568658007354,7.330080584741948,1.4386682861951985,41.12274521481304,
Jiangsu,1990,122.6,8.819813136232225,-1.5638688169616544,45.472951999927474,16.04406497946746,1.1408469136508739,structure_drivers,train,4.327104056594501,75.72467435905905,0.38234360229152486,50.52388915802953,37.95176924474973,0.0001162681865815,14.0994012055956,
Jiangsu,1991,129.644,8.831127635012084,-1.4525065985236016,46.56987778529088,17.83230340655434,1.1838421962285228,structure_drivers,train,4.416926425314364,82.84127481692242,0.36100957377956233,50.1479034522563,37.03203637928976,0.0002500181822011,15.022332281018038,
