scenario,province,province_id,year,stirpat_log_energy_pred,residual_pred,hybrid_log_energy_pred,energy_pred,co2_pred,Population,pGDP,GDP,Energy,EnergyIntensity,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,CarbonIntensity,log_Population,log_pGDP,log_GDP,log_Energy,log_CarbonIntensity,energy_pred_raw
low_carbon,InnerMongolia,14,2035,9.751144094192925,0.17565183341503143,10.249422171026767,28266.204168844415,31889.00772114717,2392.4066004967517,17.18111890822854,41104.22227996551,20435.32639046829,0.6677579603492957,36.82568658007354,5.080080584741946,2.8386682861951984,55.25556454898931,23.773212748505166,76.82308304806696,0.029493551710494826,7.780055084110231,2.8438110429701777,10.623866127080408,9.925020368000421,-3.5235836256147044,20304.590326936635
low_carbon,Jiangsu,15,2024,10.347757546879674,-0.17122231423854828,10.557519937736254,38465.61243857495,48670.42680925117,8530.262999999999,15.790911330049264,134700.626655,28134.936966064935,0.21091719903784312,31.100562649875915,15.966335693335443,7.12976080103692,45.80334085575173,38.03647730433665,76.45642263672435,0.005863396915666622,9.051375472366807,2.7594345422479987,11.810810014614805,10.24476739145488,-5.13902616490046,27631.177415071812
low_carbon,Jiangsu,15,2025,10.364253867024578,-0.17073260247707367,10.575638671052246,39168.912827936714,49093.02560293953,8534.5281315,16.580456896551727,141506.37581674388,28653.530979429466,0.21024226400092202,30.750562649875913,15.716335693335443,7.27976080103692,46.25334085575172,36.53647730433665,77.20642263672435,0.005839943328003956,9.051875347408458,2.808224706417431,11.860100053825889,10.263031959904104,-5.1430341862979985,28136.382365742393
low_carbon,Jiangsu,15,2026,10.37679388369569,-0.1688537448644638,10.593336312871449,39868.28054349561,49534.22844563387,8534.5281315,17.326577456896555,147874.16272849735,29177.42851327486,0.20956948875611908,30.400562649875912,15.516335693335444,7.42976080103692,46.65334085575172,35.03647730433665,77.85642263672436,0.00581658355469194,9.051875347408458,2.852241591834205,11.904116939242662,10.281150693220097,-5.147042207695537,28638.76234104735
low_carbon,Jiangsu,15,2027,10.389334638289924,-0.1732146292924881,10.609957035624284,40536.45759194337,49921.744946464656,8534.5281315,18.1062734424569,154528.50005127976,29698.3965476661,0.2088988663920995,30.05056264987591,15.316335693335445,7.579760801036921,47.05334085575173,33.53647730433665,78.50642263672437,0.005793317220473172,9.051875347408458,2.896258477250979,11.948133824659438,10.2988483350393,-5.151050229093076,29118.736983328723
low_carbon,Jiangsu,15,2028,10.40719326003209,-0.17150092124938965,10.622772811498002,41059.306951032704,50117.2804551009,8534.5281315,18.921055747367458,161482.2825535873,29992.299092828587,0.2082303900196448,29.70056264987591,15.116335693335445,7.729760801036921,47.45334085575172,32.43647730433665,79.15642263672437,0.005770143951591279,9.051875347408458,2.940275362667754,11.992150710076212,10.308695930786289,-5.155058250490614,29494.317728999267
low_carbon,Jiangsu,15,2029,10.423682249292213,-0.17064331471920013,10.611256791630325,40589.179351451734,47858.58254721078,8534.5281315,19.77250325599899,168748.9852684987,30172.68703676625,0.20356602928320477,28.20056264987591,14.916335693335446,7.879760801036921,49.00334085575172,31.336477304336647,79.80642263672438,0.005608579920946723,9.051875347408458,2.984292248084528,12.036167595492985,10.314692391387952,-5.183457725012313,29156.608843368303
low_carbon,Jiangsu,15,2030,10.440207050775705,-0.1743653267621994,10.606900566804686,40412.74832632091,45973.020058960756,8534.5281315,20.662265902518943,176342.68960558114,29827.21084676577,0.19900615022726098,26.70056264987591,14.716335693335447,8.029760801036922,50.55334085575172,30.236477304336645,80.45642263672438,0.005451539683160215,9.051875347408458,3.028309133501302,12.08018448090976,10.303176371520275,-5.211857199534011,29029.87234684956
low_carbon,Jiangsu,15,2031,10.452699282818052,-0.1790778636932373,10.606163429442034,40382.96955647246,44230.13684371723,8530.26086743425,21.4887565386197,183304.6989912095,29320.171070318054,0.19454841246217033,25.20056264987591,14.516335693335447,8.129760801036921,52.15334085575172,29.136477304336644,80.95642263672438,0.005298896572031729,9.051375222366776,3.0675298466545833,12.118905069021359,10.286030990578316,-5.240256674055709,29008.481228374607
low_carbon,Jiangsu,15,2032,10.465225740665304,-0.18433372676372528,10.607831211797627,40450.375754374814,42592.104730834864,8525.995737000534,22.34830680016449,190541.5685073825,29298.566040658352,0.19019052802301772,23.70056264987591,14.316335693335448,8.229760801036921,53.753340855751716,28.036477304336643,81.45642263672438,0.005150527468014841,9.050875097325093,3.106750559807865,12.157625657132957,10.285293853215665,-5.268656148577406,29056.901427483346
