province,year,CO2,GDP,Population,Energy,Industry,S,Urbanization,A,B,C,CO2_source
Hebei,1999,242.891,4569.19,6614.0,7999.153673730989,49.10258,0.4910258,32.968021504856964,0.6908361052313274,3.5653363802804696,0.03036458729348427,MEIC_1990_2022
Heilongjiang,1999,118.248,2897.41,3792.0,14111.75576400817,54.79929,0.5479929,36.45135270764446,0.7640849156118144,8.887838716597106,0.00837939672266649,MEIC_1990_2022
Henan,1999,174.864,4576.1,9387.0,5673.927793761811,45.25426,0.4525426,31.096004975033626,0.487493341855758,2.739862893113901,0.03081886240996121,MEIC_1990_2022
Hubei,1999,136.386,3857.99,5938.0,5874.789155509277,48.93559,0.48935589999999995,34.56768023909797,0.6497120242505894,3.1117618930461624,0.023215471464554525,MEIC_1990_2022
Hunan,1999,88.806,3326.75,6532.0,3582.168925825721,39.00924,0.3900924,32.72119631926498,0.5093003674219229,2.760313487114269,0.02479112566684148,MEIC_1990_2022
InnerMongolia,1999,100.9,1268.2,2362.0,4162.624740398992,40.64501,0.4064501,36.377368538202234,0.536917866215072,8.0755531070659,0.024239513838648023,MEIC_1990_2022
Jiangsu,1999,197.627,7697.82,7213.0,8692.743851590805,50.92546,0.5092546,37.968988852517555,1.0672147511437682,2.2174517067911244,0.02273470878402031,MEIC_1990_2022
Jiangxi,1999,56.479,1962.981,4231.0,1529.77603242941,38.62238,0.3862238,33.002531560661254,0.4639520207988655,2.017774939614729,0.03691978355178353,MEIC_1990_2022
Jilin,1999,89.484,1669.56,2658.0,5882.08289405259,40.23455,0.40234549999999997,35.708422461525856,0.6281264108352145,8.756488084352071,0.015212978397580526,MEIC_1990_2022
Liaoning,1999,183.908,4171.69,4171.0,14523.613358997081,47.97768,0.4797768,38.79741521256885,1.0001654279549268,7.25643663051738,0.01266268906050661,MEIC_1990_2022
Ningxia,1999,18.678,241.49,543.0,611.9328725207812,42.51936,0.4251936,34.51696742764924,0.4447329650092081,5.95961100347,0.03052295576646881,MEIC_1990_2022
Qinghai,1999,15.331,238.39,509.8,391.0600525990498,41.05877,0.4105877,33.034435622688925,0.46761475088269905,3.995300831584822,0.03920369748356457,MEIC_1990_2022
Shaanxi,1999,64.353,1487.61,3618.0,1906.2149186183067,43.14975,0.4314975,33.5804341439604,0.4111691542288557,2.96964469632517,0.03375957210881833,MEIC_1990_2022
Shandong,1999,233.868,7662.1,8883.0,10568.975272271246,48.36063,0.4836063,34.77474439571107,0.8625576944725881,2.8522863016677116,0.022127783817753446,MEIC_1990_2022
Shanghai,1999,104.042,4034.96,1474.0,4063.763420512831,48.42625,0.48426250000000004,47.12920461765039,2.7374219810040707,2.079736640653761,0.025602376229586294,MEIC_1990_2022
Shanxi,1999,157.709,1506.78,3204.0,5933.739856791993,50.48647,0.5048646999999999,34.21495100394411,0.4702808988764045,7.8001624802711715,0.0265783475188047,MEIC_1990_2022
Sichuan,1999,123.626,3711.61,8550.0,3227.223828046219,41.94083,0.41940829999999996,31.59788418371245,0.43410643274853805,2.073145247814488,0.038307228313582437,MEIC_1990_2022
Tianjin,1999,51.281,1450.06,959.0,4374.440747179564,49.09659,0.4909659,44.20825108733485,1.5120542231491136,6.144481434388145,0.011722869953848067,MEIC_1990_2022
Tibet,1999,1.065,105.61,256.0,0.0,22.72512,0.22725120000000001,25.277507179814968,0.4125390625,0.0,inf,MEIC_1990_2022
Xinjiang,1999,68.62,1168.55,1774.0,3753.4286019686074,39.42578,0.39425780000000005,32.073506190660254,0.6587091319052988,8.147053442467566,0.018281951590609722,MEIC_1990_2022
Yunnan,1999,63.815,1855.74,4192.4,1419.4940318680372,44.46313,0.4446313,29.778474810739606,0.44264383169544896,1.720348409126559,0.0449561594253554,MEIC_1990_2022
Zhejiang,1999,109.135,5364.89,4475.0,6261.643657554869,54.10754,0.5410754,38.27362374446494,1.1988581005586594,2.1570973131957527,0.017429129789001203,MEIC_1990_2022
Anhui,2000,127.87,3038.23588,6093.0,3879.5639251772227,42.6666,0.42666600000000005,28.0,0.4986436697849992,2.9927703167812414,0.032959889942826184,MEIC_1990_2022
Beijing,2000,72.279,2478.76,1363.6,6404.563535968934,38.06379,0.3806379,47.967602444847266,1.8178058081548845,6.788018705847064,0.011285546562864263,MEIC_1990_2022
Chongqing,2000,73.606,1589.34,2848.82,2307.729873339263,41.37,0.41369999999999996,37.62343683999239,0.5578941456462675,3.5098021638468686,0.0318954141255245,MEIC_1990_2022
Fujian,2000,53.071,3920.07,3410.0,1890.2444396879703,43.65126,0.43651260000000003,38.38317314685396,1.1495806451612904,1.1046567809325092,0.02807626298784967,MEIC_1990_2022
Gansu,2000,54.892,983.36,2515.0,4105.067629160854,44.73235,0.4473235,31.449972710742564,0.3909980119284294,9.332243530601831,0.013371765086174929,MEIC_1990_2022
Guangdong,2000,200.912,9662.23,8650.03,6207.477543703849,50.38951,0.5038951,41.25560226124451,1.1170169352013806,1.2749632030446683,0.03236612594817714,MEIC_1990_2022
Guangxi,2000,60.255,2050.14,4751.0,1594.18013792501,36.48531,0.3648531,32.73002196440103,0.4315175752473163,2.1312570556992116,0.03779685781208396,MEIC_1990_2022
Guizhou,2000,88.913,993.53,3756.0,1982.4170657226132,39.03757,0.39037570000000005,30.73815710391877,0.26451810436634715,5.111298757363098,0.04485080437278732,MEIC_1990_2022
Hainan,2000,7.113,518.48,788.05,149.84453397766694,19.75968,0.1975968,35.80630122792904,0.6579277964596155,1.4626115204032097,0.04746919898366218,MEIC_1990_2022
Hebei,2000,262.421,5088.96,6674.0,9010.252604543779,50.30419,0.5030418999999999,34.33305567968047,0.7625052442313456,3.5196847710296897,0.029124710651027,MEIC_1990_2022
Heilongjiang,2000,118.82,3253.0,3807.0,10195.039016078965,57.44082,0.5744082,37.960613497138596,0.8544785920672445,5.456123571901667,0.011654688109835056,MEIC_1990_2022
Henan,2000,188.666,5137.66,9488.0,6201.963574409641,46.98209,0.4698209,32.38352868904083,0.5414903035413153,2.5693988095622515,0.03042036570135111,MEIC_1990_2022
Hubei,2000,159.919,4276.32,5646.0,5701.523915401326,49.66186,0.49661859999999997,35.99894795602142,0.7574070138150902,2.684712425012493,0.028048466054490528,MEIC_1990_2022
Hunan,2000,85.022,3691.88,6562.0,3876.6845975581637,39.59663,0.3959663,34.07601074785681,0.5626150563852484,2.651884878703571,0.021931626847733098,MEIC_1990_2022
InnerMongolia,2000,109.492,1401.01,2372.0,4455.759490494908,39.70564,0.39705640000000003,37.883566028320956,0.5906450252951096,8.009922332120974,0.024573139603600677,MEIC_1990_2022
Jiangsu,2000,203.584,8582.72763,7327.0,8938.781547438264,51.68391,0.5168391,39.541087055606376,1.1713835990173331,2.015104772997844,0.022775363612990908,MEIC_1990_2022
Jiangxi,2000,59.469,2003.07,4148.5,1790.3727419762768,34.9843,0.34984299999999996,34.36899461727377,0.48284199108111364,2.5549013870119626,0.03321598827200419,MEIC_1990_2022
Jilin,2000,88.61,1821.19,2682.0,6412.672314342766,43.9427,0.439427,37.186922376415716,0.679041759880686,8.013035248344362,0.01381795227581056,MEIC_1990_2022
Liaoning,2000,210.132,4669.06,4184.0,15361.63393512194,50.21139,0.5021139,40.403814239340036,1.115932122370937,6.552480131563697,0.013679013631457947,MEIC_1990_2022
Ningxia,2000,24.037,265.57,554.0,0.0,45.20089,0.4520089,35.946135391006386,0.4793682310469314,0.0,inf,MEIC_1990_2022
Qinghai,2000,14.085,263.59,516.5,346.1111128491859,43.24899,0.4324899,34.402219660452126,0.5103388189738625,3.036062054094029,0.04069502387268734,MEIC_1990_2022
Shaanxi,2000,63.198,1660.92,3644.0,1798.3278803388173,44.06594,0.4406594,34.97082513861451,0.45579582875960484,2.457067706211177,0.03514264594957682,MEIC_1990_2022
Shandong,2000,214.673,8542.44,8997.0,13066.46840048403,49.68604,0.4968604,36.21458556160889,0.9494764921640547,3.0785194425963605,0.01642930541140311,MEIC_1990_2022
Shanghai,2000,114.769,4551.15,1609.0,4651.286321163903,47.54139,0.4754139,49.08057967744477,2.8285581106277187,2.149710855365749,0.02467467966394317,MEIC_1990_2022
Shanxi,2000,161.836,1643.81,3247.0,4670.918100384764,50.34584,0.5034584,35.63161403916492,0.5062550046196489,5.644000493544161,0.03464757816812692,MEIC_1990_2022
Sichuan,2000,121.267,4010.25,8329.0,3697.2615162210645,42.40359,0.4240359,32.90618810351329,0.481480369792292,2.174233065675704,0.03279914051737023,MEIC_1990_2022
Tianjin,2000,55.01,1639.36,1001.0,4942.838158891458,50.02989,0.5002989,46.03868466474865,1.6377222777222775,6.026601961230383,0.011129233495344145,MEIC_1990_2022
Tibet,2000,1.145,117.464,258.0,0.0,23.16795,0.2316795,26.32411718489855,0.45528682170542634,0.0,inf,MEIC_1990_2022
Xinjiang,2000,72.969,1364.36,1849.0,4528.778328454936,43.01211,0.4301211,33.401503142197505,0.7378907517577068,7.7172281086366485,0.01611229225805241,MEIC_1990_2022
Yunnan,2000,64.062,1955.09,4240.8,1574.8613290975247,43.1305,0.431305,31.01144645827363,0.46101914733069227,1.8676309905069017,0.04067786719781275,MEIC_1990_2022
Zhejiang,2000,118.631,6036.34,4680.0,7221.376430084919,52.73841,0.5273841,39.85833529283111,1.2898162393162393,2.2683980134774724,0.01642775461832627,MEIC_1990_2022
Anhui,2001,136.977,3246.71456,6128.0,4784.12743668956,43.0,0.43,29.3,0.5298163446475196,3.426811182238073,0.02863155336321539,MEIC_1990_2022
Beijing,2001,73.339,3710.52,1385.1,7008.818949645328,36.2,0.36200000000000004,49.87465358263403,2.6788823911630932,5.21796899462538,0.010463817160480544,MEIC_1990_2022
Chongqing,2001,67.498,1765.68,2829.21,2069.0564140649712,41.6,0.41600000000000004,39.1192343027831,0.6240894101180188,2.81687129210321,0.03262260010948183,MEIC_1990_2022
Fujian,2001,54.598,4072.85,3445.0,2261.2801619753313,44.8,0.44799999999999995,39.90917549616333,1.1822496371552975,1.2393042615249958,0.024144730457594497,MEIC_1990_2022
Gansu,2001,56.723,1125.37278,2523.0,4898.059883996748,44.9,0.449,32.70033135250176,0.4460454934601664,9.69351625934119,0.011580707738043176,MEIC_1990_2022
Guangdong,2001,210.908,12039.25356,8733.18,7048.03676071929,50.2,0.502,42.89580396452635,1.3785646877769608,1.166178101989795,0.029924361515174004,MEIC_1990_2022
Guangxi,2001,57.711,2279.34,4788.0,1885.2158654497812,35.5,0.355,34.031271608861886,0.4760526315789474,2.3298267158998227,0.030612409463375227,MEIC_1990_2022
Guizhou,2001,88.791,1133.27,3799.0,2253.417775211223,38.7,0.387,31.96021604559501,0.29830744932877074,5.138038551153926,0.03940281335167741,MEIC_1990_2022
Hainan,2001,7.538,558.41366,795.55,161.82837561559668,20.4,0.204,37.22985471020222,0.7019215134183899,1.4205890863358295,0.04658021172940392,MEIC_1990_2022
Hebei,2001,280.292,5516.76,6699.0,10765.684455338183,49.6,0.496,35.69803724141088,0.8235199283475146,3.9343761524040666,0.02603568785271397,MEIC_1990_2022
Heilongjiang,2001,115.575,3390.13,3811.0,9391.0593906723,56.1,0.561,39.46981611455185,0.8895644187877197,4.937821355334109,0.012306918228500954,MEIC_1990_2022
Henan,2001,201.056,5533.01,9555.0,7431.260660834501,47.1,0.47100000000000003,33.67100277747361,0.579069597069597,2.851544364410159,0.02705543637563942,MEIC_1990_2022
Hubei,2001,136.592,3880.53,5658.0,6204.546354990288,49.6,0.496,37.43016050698418,0.6858483563096501,3.2235715323130787,0.022014824643890315,MEIC_1990_2022
Hunan,2001,85.582,3831.9,6596.0,4539.502418334615,39.5,0.395,35.43077295725957,0.5809429957550031,2.999141727513049,0.018852727042140676,MEIC_1990_2022
InnerMongolia,2001,117.849,1713.81,2381.0,5433.655961121403,40.5,0.405,39.38970546442884,0.7197858042839143,7.828425830112264,0.02168871213842516,MEIC_1990_2022
Jiangsu,2001,204.837,9456.84,7359.0,10650.89862846203,51.6,0.516,41.11312466464514,1.285071341214839,2.182682207983652,0.01923189837265197,MEIC_1990_2022
Jiangxi,2001,63.742,2175.68,4185.8,1788.357284371753,36.2,0.36200000000000004,35.73540500571919,0.5197763868316689,2.270652620210531,0.035642765881870445,MEIC_1990_2022
Jilin,2001,94.993,2120.35,2691.0,7531.187643450958,43.3,0.433,38.66536530485418,0.7879412857673727,8.202911338443524,0.012613282857532427,MEIC_1990_2022
Liaoning,2001,199.03,5033.08,4194.0,6690.828387758101,48.5,0.485,42.01015134998993,1.200066762041011,2.7409702307505097,0.029746690314783143,MEIC_1990_2022
Ningxia,2001,28.622,337.44467,563.0,0.0,45.0,0.45,37.375248269334534,0.599368863232682,0.0,inf,MEIC_1990_2022
Qinghai,2001,17.255,300.13,523.1,382.7470115325533,43.9,0.439,35.7699509791331,0.5737526285605047,2.9049447709527336,0.04508199797801016,MEIC_1990_2022
Shaanxi,2001,71.684,2010.62,3653.0,2084.3858720575613,44.3,0.44299999999999995,36.36116254283682,0.5504024089789215,2.3401537744930643,0.034390945055311914,MEIC_1990_2022
Shandong,2001,256.59,9195.036,9041.0,19283.152985925997,49.3,0.493,37.65437123109593,1.0170374958522288,4.253806138439436,0.013306433869361239,MEIC_1990_2022
Shanghai,2001,116.084,5210.12,1668.0,4721.127944980348,47.6,0.47600000000000003,51.031879524559805,3.1235731414868106,1.9036674815294614,0.024588191922107126,MEIC_1990_2022
