province,year,base_year,delta_CO2,delta_P,delta_A,delta_S,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
Sichuan,1999,1998,-12.706999999999994,0.868738440470309,3.810732416509932,-2.3298576045938515,-7.911754936363902,-7.144858316022508,2.842170943040401e-14,2.2366970512633998e-15,2.2366970512633998e-15
Sichuan,2000,1999,-2.359000000000009,-3.2065153092687115,12.682092211457038,1.3435899671572888,5.829386295806332,-19.007553165151982,2.842170943040401e-14,1.2048202386775711e-14,1.2048202386775711e-14
Sichuan,2001,2000,3.057000000000002,-2.7731610139324947,11.153101466284372,-8.089575737688687,10.219826140913527,-7.453190855576677,-3.907985046680551e-14,1.2783726027741407e-14,1.2783726027741407e-14
Sichuan,2002,2001,15.232000000000014,-0.5351856091576779,13.157063140617515,3.278610107483803,-7.317311202641113,6.648823563697558,-7.283063041541027e-14,4.78142269008733e-15,4.78142269008733e-15
Sichuan,2003,2002,35.26399999999998,1.2686731978469852,17.680489704093276,3.1634190642395343,21.395659602965953,-8.244241569145826,5.684341886080802e-14,1.6119390557171066e-15,1.6119390557171066e-15
Sichuan,2004,2003,15.467000000000013,-1.9292205963702205,34.61945135069684,-2.2096381228579864,-4.964713591434387,-10.048879040034203,-3.375077994860476e-14,2.1821154683264194e-15,2.1821154683264194e-15
Sichuan,2005,2004,-14.876000000000005,2.7353311821431787,24.010649134748466,2.077210583333215,-71.78443474655937,28.085243846334453,5.3290705182007514e-14,3.582327586851808e-15,3.582327586851808e-15
Sichuan,2006,2005,21.107,-0.9752640324197328,31.205885352603676,9.595614711857328,-19.361471554319962,0.6422355222787854,-9.592326932761353e-14,4.5446188149719776e-15,4.5446188149719776e-15
Sichuan,2007,2006,17.751000000000005,-1.0580724100846188,41.10518877963064,2.335242400407933,-38.27124544010377,13.639886670149677,1.4210854715202004e-13,8.005664309166807e-15,8.005664309166807e-15
Sichuan,2008,2007,22.418000000000006,0.30472964969234473,39.45817209443345,10.457423838564322,-28.251908920664288,0.4495833379742908,-1.1723955140041653e-13,5.229706102257851e-15,5.229706102257851e-15
Sichuan,2009,2008,25.557000000000016,1.4353548883122267,27.479970498448267,5.85239003070094,29.26784422523585,-38.4785596426973,3.552713678800501e-14,1.3901137374498175e-15,1.3901137374498175e-15
