province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual
Hubei,2005,195.635,6590.19,5710.0,7297.393514000002,4205.611728000001,1751.146074,81.26299999999999,1259.372712,57.63169712489209,23.996870535218328,1.113589391117492,17.25784294877207,43.1,43.2,2500.0,86.2381,1.1541488616462343,1.1073115515637642,0.0268088872588103,MEIC_1990_2023,1.1541488616462345,0.029685790546251322,5.276250678198789,8.793337458643906,8.649974302650056,8.895272510501215,4.457112075378101,0.14336315599384955,-3.5170867804451165,12,8.746842670106856,0.1484298403943587
Hubei,2006,218.589,7617.47,5693.0,8125.967109999999,4502.389868,1920.955208,84.58800000000001,1618.0340339999998,55.40743405740909,23.639711827482408,1.0409591726737868,19.91189494243473,44.4,43.8,2500.0,98.7423,1.338041454417706,1.0667540679516951,0.0269000596533303,MEIC_1990_2023,1.338041454417706,0.028695748063333363,5.387193254256754,8.938199572552142,8.646992628951082,9.002820029037634,4.592513426057503,0.2912069436010599,-3.5510063182953875,12,8.84674819241508,0.15607183662255508
Hubei,2007,236.49,9333.4,5699.0,9023.5164358,4895.682018,2338.797169,112.385,1676.6522488000005,54.25470272960125,25.91891072222166,1.2454678926956069,18.580918655481486,43.0,44.3,2600.0,115.4617,1.6377259168275136,0.966798426704095,0.0262081863187777,MEIC_1990_2023,1.6377259168275136,0.025338033299762145,5.465905923739927,9.141354643320865,8.648045999835,9.107589385843701,4.748938873238235,0.49330864348586445,-3.6754487195809373,12,8.935119608520994,0.17246977732270707
Hubei,2008,243.254,11328.92,5711.0,9957.2270392,5178.565519,2621.727867,205.352,1951.5816532,52.00810927191698,26.32989944568582,2.062341244119093,19.599650038278103,43.8,45.2,2700.0,136.8635,1.983701628436351,0.8789211186238405,0.0244298938893678,MEIC_1990_2023,1.983701628436351,0.02147194966510488,5.4941061649185805,9.335114027325032,8.650149418664864,9.206053902096588,4.918984078776193,0.6849646086601693,-3.841007862406452,12,9.029389427682567,0.17666447441402156
Hubei,2009,258.829,12961.1,5720.0,10854.3710024,5787.043827999999,2862.1102560000004,214.529,1990.6879184,53.3153310009436,26.368273715419917,1.9764295872378572,18.33996569639863,46.6,46.0,3000.0,168.319,2.2659265734265737,0.8374575462267863,0.0238456009973098,MEIC_1990_2023,2.2659265734265737,0.019969678499510073,5.556167611990403,9.469707842847665,8.651724084373843,9.29232313520742,5.125860988467058,0.8179837584738221,-3.9135402308572624,12,9.15566828274495,0.13665485246247044
Hubei,2010,308.944,15967.61,5728.0,12054.244595399998,7392.063193999999,2503.762407,257.62100000000004,1900.7979944000003,61.32332171873195,20.770794778425657,2.1371807910577028,15.768702711784702,48.6,49.7,3400.0,207.4917,2.7876414106145253,0.7549185254023613,0.0256294782767138,MEIC_1990_2023,2.7876414106145253,0.019348167947488698,5.733160030700183,9.678317574405282,8.653121708640482,9.397172125474748,5.335091338870732,1.0251958657648013,-3.9451575437051,12,9.390398445342548,0.006773680132200255
Hubei,2011,347.659,19632.26,5760.0,13741.2649658,8597.131618000001,2720.4986606,306.698,2116.9366872,62.56433915943696,19.798021997035377,2.2319488108505765,15.40569003267709,50.0,51.78,3400.0,249.4872,3.408378472222222,0.6999329147943233,0.0253003636030068,MEIC_1990_2023,3.408378472222222,0.017708557242008816,5.851222114315789,9.884929410546777,8.658692753689937,9.528158626007372,5.519407611270339,1.2262366568568406,-4.033707296230988,12,9.551800128022427,-0.023641502015054883
Hubei,2012,341.044,22250.45,5781.0,14542.122804741495,9069.331311117834,2917.9451328447108,365.4549379890578,2189.391422789896,62.365938129478295,20.065468927915443,2.5130783372968097,15.055514605309476,50.30505,53.23,3800.0,293.6371,3.848892925099464,0.6535653348467781,0.0234521468824896,MEIC_1990_2023,3.848892925099464,0.015327510230130176,5.832011501217636,10.010117512108971,8.662331957082475,9.58480473800597,5.682344651155125,1.3477855550264946,-4.1781060108913355,12,9.612204903413172,-0.027400165407202692
Hubei,2013,338.825,24791.83,5798.0,12180.551397,6022.050374000002,3402.0090830000004,349.657,2406.83494,49.43988311960326,27.929844652499845,2.870617171617686,19.759655056279215,49.3,54.51,3900.0,354.3973,4.275927906174544,0.4913131219841375,0.0278168852096014,MEIC_1990_2023,4.275927906174544,0.013666800716203683,5.825483749902079,10.118269442393412,8.6652683094816,9.407595810928857,5.870418600191747,1.4530011329118124,-4.292785692491334,12,9.571946972542515,-0.16435116161365748
Hubei,2014,283.207,27379.22,5816.0,12819.747651745614,6100.495944315003,3729.912169443733,480.74705425338783,2508.592483733493,47.58670849097659,29.0950514063812,3.75005083807501,19.568189264567216,46.9,55.73,4059.31,422.2274,4.7075687757909215,0.4682291041068961,0.0220914644884945,MEIC_1990_2023,4.7075687757909215,0.010343866625857127,5.646178079028216,10.217539610489244,8.668368019213355,9.45874204632973,6.0455440314609605,1.5491715912758883,-4.571361531461028,12,9.528952405317197,-0.07021035898746675
