province,year,base_year,delta_CO2,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio,delta_P,delta_A,delta_B,delta_C
Guangxi,2004,2003,14.423000000000002,2.6645352591003757e-14,1.8474209658880785e-15,1.8474209658880785e-15,0.4805452014516408,13.89520578804881,-3.754228956413855,3.8014779669133794
Guangxi,2005,2004,1.4699999999999989,-3.6415315207705135e-14,2.477232327054773e-14,2.477232327054773e-14,-3.902971006562473,16.00356835992395,-6.064347244251483,-4.566250109109958
Guangxi,2006,2005,17.878,2.4868995751603507e-14,1.3910390285045031e-15,1.3910390285045031e-15,1.1416630022916125,14.740344597346647,-1.346371065230585,3.3423634655922982
Guangxi,2007,2006,24.066000000000003,0.0,0.0,0.0,1.1525691783997845,21.670062743377503,-5.589500341289994,6.8328684195127085
Guangxi,2008,2007,1.117999999999995,3.730349362740526e-14,3.33662733697723e-14,3.33662733697723e-14,1.2480721786428584,22.054233748374106,-16.695131630075743,-5.489174296941263
Guangxi,2009,2008,18.189000000000007,-3.197442310920451e-14,1.7578989009403759e-15,1.7578989009403759e-15,1.1087481654006937,12.29170791577381,-0.8599378309599286,5.648481749785463
Guangxi,2010,2009,24.51399999999998,1.4210854715202004e-14,5.797036271192793e-16,5.797036271192793e-16,-8.072656956019832,40.64196305693795,-16.47499701203424,8.419690911116088
Guangxi,2011,2010,22.733000000000004,1.7763568394002505e-14,7.814000965117891e-16,7.814000965117891e-16,1.738688907929453,34.55153971765802,-17.210450917112667,3.6532222915251853
Guangxi,2012,2011,8.777000000000015,3.552713678800501e-15,4.0477539920251737e-16,4.0477539920251737e-16,1.6265006707757406,19.091707617785854,-5.860509380413232,-6.080698908148352
Guangxi,2013,2012,7.924999999999983,2.3092638912203256e-14,2.9138976545366948e-15,2.9138976545366948e-15,1.596270698710705,19.35292151778698,-24.72395547375505,11.699763257257326
Guangxi,2014,2013,-7.663999999999987,-6.394884621840902e-14,8.344056134969875e-15,8.344056134969875e-15,1.6701825596754118,14.858290149901414,-3.982066543476716,-20.210406166100032
Guangxi,2015,2014,-9.592000000000013,1.9539925233402755e-14,2.0371064672021193e-15,2.0371064672021193e-15,1.6671977988685418,11.896904394143942,-14.886588879120145,-8.269513313892372
Guangxi,2016,2015,5.866000000000014,9.947598300641403e-14,1.6958060519334094e-14,1.6958060519334094e-14,1.836189780300858,14.81608734305326,-6.705724227496935,-4.080552895857268
Guangxi,2017,2016,4.8870000000000005,-1.6342482922482304e-13,3.344072625840455e-14,3.344072625840455e-14,2.031351898359331,0.18265397025843122,8.127183609509837,-5.454189478127436
