province,province_id,year,true_energy,true_co2,target_stirpat_log,co2_per_energy,pred_residual,stirpat_energy_pred,hybrid_energy_pred,stirpat_co2_pred,hybrid_co2_pred,split
Guangdong,5,2012,19676.226659000004,481.758,9.86394986029111,0.02448426765706328,-0.0027307142,19224.674445015906,19172.248966416377,470.7020747316739,469.4184752815934,train
Guangdong,5,2013,18810.821916000004,490.826,9.821143878516875,0.026092746090085307,-0.000660602,18419.1079171961,18406.94423572486,480.60510608927785,480.2877222371281,train
Guangdong,5,2014,19383.872659200006,479.804,9.849732072854449,0.02475274205705612,0.0017751064,18953.27602455895,18986.94998500768,469.1455525720937,469.97907542912066,train
Guangdong,5,2015,20120.73348499999,482.95,9.885082652224629,0.024002604097909205,0.0026215808,19635.268710986482,19686.81168787781,471.29758122587253,472.53474689422274,train
Guangdong,5,2016,21087.54955519999,474.364,9.930488303376475,0.022494979739503495,0.003501013,20547.37148305952,20619.434168711392,462.2127052114758,463.83375386518884,train
Guangdong,5,2017,21344.06409639999,507.132,9.94278599755214,0.02375986118246035,0.0046497723,20801.616885585732,20898.564886151107,494.24352957224016,496.5470006075906,train
Guangdong,5,2018,22205.572438999985,513.998,9.980836191613117,0.023147252853398956,0.006305023,21608.373738239596,21745.04544009297,500.1744906697775,503.338065110482,train
Guangdong,5,2019,22674.60221859999,511.273,10.002434507092175,0.022548267664012304,0.0066712527,22080.15470850325,22227.949439199918,497.86923843013284,501.20175357721195,train
Guangdong,5,2020,23080.946408999996,530.696,10.018299143608475,0.02299281799783845,0.008219424,22433.241730228834,22618.389912372455,515.8034442046661,520.060522659325,train
Guangdong,5,2021,23769.38774560001,621.108,10.05040182038791,0.026130584710368672,0.008713952,23165.093182260745,23367.834755782194,605.3174297226482,610.6151855838639,valid
Guangdong,5,2022,23359.762351399982,616.86,10.035747494063367,0.02640694672833563,0.008657934,22828.09958523892,23026.601837826012,602.8204096565448,608.0622480660668,valid
Guangdong,5,2023,22974.67453426315,661.919,10.019577210598916,0.02881081074784545,0.009531974,22461.931245628868,22677.061466086983,647.1464501489297,653.3445262166908,valid
Guangxi,6,1993,932.5085985716477,45.282,6.843756643895915,0.04855933775769987,-0.009414583,938.0062798275511,929.2167810900962,45.548963760989594,45.122151523076646,train
Guangxi,6,1994,1068.4663322752651,47.214,6.9854292837892595,0.04418857063980602,-0.0098733865,1080.7702753212054,1070.1519185347747,47.75769365643368,47.28848364749783,train
Guangxi,6,1995,1219.3693184497567,58.697,7.117022764396032,0.048137179697636104,-0.010617927,1232.7747036844837,1219.7544386579332,59.34229743796009,58.715538600666186,train
Guangxi,6,1996,1386.0411008383962,58.647,7.248552548282571,0.04231259806402947,-0.010677937,1406.0681587842325,1391.1341252128007,59.4943968532672,58.86249909328448,train
Guangxi,6,1997,1877.4620899999993,55.391,7.538435374387401,0.02950312567962424,-0.010423921,1878.8879679160161,1859.4043125430348,55.43306785536002,54.858239122192465,train
Guangxi,6,1998,1924.8331129999995,55.594,7.557354546122868,0.028882503955552016,-0.008151419,1914.7733626452052,1899.2286834670672,55.303449220585776,54.85447996273542,train
Guangxi,6,1999,2003.2817249999994,56.551,7.594722330682881,0.02822917979746459,-0.006792687,1987.6778577144632,1974.2219370758553,56.110515624860824,55.73066602181314,train
Guangxi,6,2000,2137.6605382000002,60.255,7.657079783738373,0.028187356656140188,-0.0066072512,2115.5704760486883,2101.638447285283,59.632339539584656,59.23963247588694,train
Guangxi,6,2001,2272.7572684000006,57.711,7.717553595823915,0.02539250486728308,-0.0064795054,2247.454667209314,2232.939349270607,57.06850357611057,56.699923294701804,train
Guangxi,6,2002,2288.217170200001,57.466,7.726327115599909,0.025113875006443215,-0.006442763,2267.2595072164004,2252.6990469158136,56.939671871402716,56.574002291377504,train
Guangxi,6,2003,2691.2195441999997,66.203,7.884245129573431,0.024599628128696465,-0.0069340058,2655.1199978192594,2636.773062829195,65.31496458341915,64.8636368053622,train
Guangxi,6,2004,3111.613215,80.626,8.029361576748187,0.025911318158481342,-0.0067037977,3069.781227827882,3049.270860896283,79.54207807118175,79.0106274280699,train
Guangxi,6,2005,3351.2529185999992,82.096,8.11160904737135,0.02449710660283317,-0.0063349567,3332.9365704925735,3311.8892986833953,81.64730246783776,81.13170520662952,train
Guangxi,6,2006,3933.467307999999,99.974,8.269461386579396,0.025416252932030217,-0.006109031,3902.84630053985,3879.0763713654933,99.19572872935925,98.59158619728736,train
Guangxi,6,2007,4590.435850799999,124.04,8.423153374177858,0.027021399281373874,-0.005819073,4551.232590083036,4524.825542426705,122.9806730390351,122.26711766047113,train
Guangxi,6,2008,4840.426509099997,125.158,8.479497373276702,0.025856812362444304,-0.005831627,4815.029126237247,4787.031387068791,124.50130463682063,123.77737234856923,train
Guangxi,6,2009,5315.122501200001,143.347,8.571387671848695,0.02696965121079268,-0.0057309344,5278.449466094302,5248.2855345681955,142.35794103435816,141.54443032195283,train
Guangxi,6,2010,5895.574511599997,167.861,8.686572983069874,0.028472373586275676,-0.005258221,5922.849716400998,5891.787799364663,168.63758982073614,167.75318331457174,train
Guangxi,6,2011,6558.754298999996,190.594,8.794452922324457,0.02905948161971237,-0.0049764346,6597.545219070148,6564.794524981397,191.72124402879018,190.7695258358853,train
Guangxi,6,2012,7078.158171200002,199.371,8.869466610302764,0.028167073294746606,-0.004798783,7111.486767590791,7077.442037829,200.30976901735042,199.35082861885022,train
Guangxi,6,2013,6947.952304400005,207.296,8.854221459554347,0.029835553112349884,-0.0042810105,7003.893302917534,6973.973651162046,208.96503063242776,208.07236127337387,train
Guangxi,6,2014,7389.930175600003,199.632,8.914339696252904,0.027014057677993086,-0.0037585944,7437.8692542587005,7409.965792325556,200.92702903591595,200.17324330583833,train
Guangxi,6,2015,7339.929394799996,190.04,8.90881946541452,0.025891257228527916,-0.0034741554,7396.92361769012,7371.270143139292,191.51565208538818,190.8514513769872,train
Guangxi,6,2016,7728.207502000003,195.906,8.959407751397,0.025349474629052213,-0.0032096673,7780.747960218812,7755.814383722238,197.23787301261655,196.6058199478051,train
Guangxi,6,2017,8141.8366422000045,200.793,9.006225865138529,0.024661880214995796,-0.0028842185,8153.690005158342,8130.206863387562,201.08532621742347,200.50618778800074,train
