province,province_id,year,Population,pGDP,GDP,EnergyIntensity,Industry,Urbanization,Energy,stirpat_log_pred,pred_residual,hybrid_log_energy_pred,energy_pred,co2_pred,co2_per_energy_assumed,log_GDP,log_pGDP,log_Population,residual
Fujian,3,2028,4241.334382753435,17.53258481401558,74361.55479022503,0.15770567470735952,41.13587980962098,75.64422487582462,11737.143347578696,9.36991419842466,0.0005995389074087143,9.370513737332068,11737.143347578696,305.69076163078824,0.026044732741025138,11.216694350576246,2.864061138948417,8.352633211627829,0.0005995389074087143
Fujian,3,2029,4253.098519382414,18.615069039870924,79171.72257167645,0.1515439237809829,40.3176442329122,76.50802763980514,12013.31719783887,9.39329536034998,0.0004757195711135864,9.393771079921093,12013.31719783887,312.88363575087436,0.026044732741025138,11.279374475812782,2.923971416147828,8.355403059664955,0.0004757195711135864
Fujian,3,2030,4264.895286051408,19.764387227270202,84293.04191727935,0.14562291989525114,39.49940865620342,77.37183040378565,12295.88589255202,9.416672120757303,0.0003478843718767166,9.41702000512918,12295.88589255202,320.2430618856587,0.026044732741025138,11.34205460104932,2.983881693347239,8.35817290770208,0.0003478843718767166
Fujian,3,2031,4276.724773265954,20.98466579053795,89745.64004510024,0.139933256772911,38.68117307949464,78.23563316776617,12584.966854951523,9.44004422427858,0.0002140495926141739,9.440258273871194,12584.966854951523,327.77209829187206,0.026044732741025138,11.404734726285856,3.04379197054665,8.360942755739206,0.0002140495926141739
Fujian,3,2032,4288.587071782625,22.28028591410038,95550.9461268314,0.13446589565130673,37.86293750278586,79.09943593174668,12880.690484106246,9.463411401556238,7.320567965507507e-05,9.463484607235893,12880.690484106246,335.4741411784129,0.026044732741025138,11.467414851522394,3.1037022477460607,8.363712603776332,7.320567965507507e-05
Fujian,3,2033,4300.482272609722,23.655899282317524,101731.77550624755,0.12921215092314167,37.04470192607708,79.9632386957272,13183.191858598308,9.486773367914292,-7.541477680206299e-05,9.48669795313749,13183.191858598308,343.3527086308514,0.026044732741025138,11.53009497675893,3.1636125249454716,8.366482451813459,-7.541477680206299e-05
Fujian,3,2034,4312.410467007976,25.11644478049536,108312.41936543604,0.12416367633827227,36.2264663493683,80.82704145970771,13492.609364632017,9.510129821886819,-0.0002324618399143219,9.509897360046905,13492.609364632017,351.4114048808939,0.026044732741025138,11.592775101995468,3.223522802144883,8.369252299850585,-0.0002324618399143219
Fujian,3,2035,4324.371746491247,26.667166227039786,115318.74019119644,0.11931245174461487,35.40823077265952,81.69084422368823,13809.086113256202,9.533480443583901,-0.00039837509393692017,9.533082068489964,13809.086113256202,359.65395721755937,0.026044732741025138,11.655455227232004,3.283433079344294,8.37202214788771,-0.00039837509393692017
Gansu,4,2024,2454.1427718494606,5.197932657200812,12756.468859229632,0.4865901552813015,27.531734453104928,58.006173305366374,6361.012474366429,8.758197239684034,-0.00025440193712711334,8.757942837746906,6361.012474366429,196.50964911315458,0.030892825616212517,9.453793783430447,1.6482609806141768,7.80553280281627,-0.00025440193712711334
Gansu,4,2025,2443.3333649577903,5.6137672697768775,13716.304873353845,0.46597221994237165,26.478081343725915,59.20617330536638,6566.929055217556,8.788787575651593,0.00101400725543499,8.789801582907028,6566.929055217556,202.8709941368752,0.030892825616212517,9.526340540906054,1.7252220217503054,7.801118519155748,0.00101400725543499
