level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Heilongjiang,10,2024,12388.68932620368,17286.48112996666
province,baseline,Heilongjiang,10,2025,12338.347064853111,16756.386171433656
province,baseline,Heilongjiang,10,2026,12313.505109048185,16418.530012352407
province,baseline,Heilongjiang,10,2027,12223.598083924142,15996.7517332314
province,baseline,Heilongjiang,10,2028,12225.88043846523,15697.783804934994
province,baseline,Heilongjiang,10,2029,12246.426470311833,15421.702254310927
province,baseline,Heilongjiang,10,2030,12278.41036309104,15158.726809978187
province,baseline,Heilongjiang,10,2031,12346.70526439528,14990.30553357936
province,baseline,Heilongjiang,10,2032,12422.801450959303,14828.400219885192
province,baseline,Heilongjiang,10,2033,12507.162354511749,14673.075477940809
province,baseline,Heilongjiang,10,2034,12600.45475445091,14524.592370637643
province,baseline,Heilongjiang,10,2035,12698.296090146896,14377.44033140482
province,baseline,Henan,11,2024,23073.780587628615,31741.39975593173
province,baseline,Henan,11,2025,23635.051751917228,31632.63292294636
province,baseline,Henan,11,2026,24205.129626829195,31797.794308551027
province,baseline,Henan,11,2027,24756.761207298907,31911.019186233072
province,baseline,Henan,11,2028,25229.509036030584,31897.264206421052
province,baseline,Henan,11,2029,25661.16644877333,31809.222271111383
province,baseline,Henan,11,2030,26064.288069283943,31665.19039513611
province,baseline,Henan,11,2031,26494.052304231394,31644.97254959511
province,baseline,Henan,11,2032,26909.645372937917,31590.523944231405
province,baseline,Henan,11,2033,27316.177617240133,31508.60949716474
province,baseline,Henan,11,2034,27718.994457749326,31405.842037853883
province,baseline,Henan,11,2035,28120.068864818742,31284.644733705685
province,baseline,Hubei,12,2024,20723.64021014147,33901.91423662265
province,baseline,Hubei,12,2025,21390.3681621581,34195.399050029155
province,baseline,Hubei,12,2026,22120.914414596635,34816.93378195087
province,baseline,Hubei,12,2027,22852.56698057216,35404.09639567053
province,baseline,Hubei,12,2028,23451.479136905888,35752.750053714175
province,baseline,Hubei,12,2029,23998.830043213893,35994.48604805548
province,baseline,Hubei,12,2030,24505.786261987538,36149.59706087456
province,baseline,Hubei,12,2031,25023.785461771917,36401.484291970635
province,baseline,Hubei,12,2032,25518.663612103806,36599.00430261983
province,baseline,Hubei,12,2033,26000.894400702833,36758.38397921767
province,baseline,Hubei,12,2034,26479.29224317716,36892.68081624243
province,baseline,Hubei,12,2035,26955.717306284994,37004.68382322252
province,baseline,Hunan,13,2024,17577.90558719834,29712.923986203215
province,baseline,Hunan,13,2025,17716.2445480812,29286.481690178975
province,baseline,Hunan,13,2026,17942.896612118035,29218.003458491155
province,baseline,Hunan,13,2027,18212.20216588776,29206.73251049477
province,baseline,Hunan,13,2028,18489.463624754364,29194.72125849452
province,baseline,Hunan,13,2029,18786.923176097975,29200.408180095954
province,baseline,Hunan,13,2030,19102.399071098553,29218.959522845904
province,baseline,Hunan,13,2031,19470.502469475814,29383.44794469714
province,baseline,Hunan,13,2032,19855.322251173795,29557.751163272238
province,baseline,Hunan,13,2033,20259.261780460718,29744.37121203725
province,baseline,Hunan,13,2034,20686.552914155505,29948.260475517833
province,baseline,Hunan,13,2035,21134.901599930803,30164.710753921117
province,baseline,InnerMongolia,14,2024,29608.886075177834,42346.84551518277
province,baseline,InnerMongolia,14,2025,31232.72556963276,43505.228959928645
province,baseline,InnerMongolia,14,2026,32614.87455624721,44624.9536893522
province,baseline,InnerMongolia,14,2027,33694.07181390213,45269.37762249627
province,baseline,InnerMongolia,14,2028,34570.75845079103,45593.413749067106
province,baseline,InnerMongolia,14,2029,35322.48942546737,45712.43427742766
province,baseline,InnerMongolia,14,2030,36001.56446615328,45702.08942208934
province,baseline,InnerMongolia,14,2031,36706.3882299601,45845.44629099788
province,baseline,InnerMongolia,14,2032,37377.48121439174,45918.5091657431
province,baseline,InnerMongolia,14,2033,38020.162091311395,45929.774607574436
province,baseline,InnerMongolia,14,2034,38646.666600892066,45895.5181691439
province,baseline,InnerMongolia,14,2035,39267.523297055624,45829.02108820465
province,baseline,Jiangsu,15,2024,38671.28665751183,47489.38694269304
province,baseline,Jiangsu,15,2025,39616.821736290425,47174.01067129218
province,baseline,Jiangsu,15,2026,40818.16583244753,47596.39259053218
province,baseline,Jiangsu,15,2027,42045.82271335742,47989.46530502353
province,baseline,Jiangsu,15,2028,43336.69345762315,48392.485267103126
province,baseline,Jiangsu,15,2029,44709.401781175075,48821.10515609504
province,baseline,Jiangsu,15,2030,46178.27725389314,49284.554776495155
province,baseline,Jiangsu,15,2031,47848.11933968276,50087.271248000616
province,baseline,Jiangsu,15,2032,49651.39853640947,50958.57450394086
province,baseline,Jiangsu,15,2033,51598.825786884685,51901.043848912894
province,baseline,Jiangsu,15,2034,53701.71670087048,52916.97740651271
province,baseline,Jiangsu,15,2035,55967.37840655543,54003.878925904006
province,baseline,Jiangxi,16,2024,11492.351070602126,17677.772365697514
province,baseline,Jiangxi,16,2025,11595.105219408904,17403.68135338731
province,baseline,Jiangxi,16,2026,11789.418012822467,17404.160231567308
province,baseline,Jiangxi,16,2027,11921.061948439356,17304.073559613385
province,baseline,Jiangxi,16,2028,12122.756363009952,17297.43619939787
province,baseline,Jiangxi,16,2029,12347.527073324503,17313.192570836298
province,baseline,Jiangxi,16,2030,12591.798068694192,17344.707044667393
province,baseline,Jiangxi,16,2031,12883.65220521527,17482.996288670245
province,baseline,Jiangxi,16,2032,13193.024262531037,17632.750088174223
province,baseline,Jiangxi,16,2033,13520.623637751452,17793.82627023
province,baseline,Jiangxi,16,2034,13869.714916335783,17969.335029175825
province,baseline,Jiangxi,16,2035,14240.107233097899,18157.7131729841
province,baseline,Jilin,17,2024,7871.356792593809,10371.766313546217
province,baseline,Jilin,17,2025,8071.562834608537,10334.742515608457
province,baseline,Jilin,17,2026,8294.461642922219,10415.283146346505
province,baseline,Jilin,17,2027,8498.992741086628,10462.202939810626
province,baseline,Jilin,17,2028,8656.019408470924,10441.715344583483
province,baseline,Jilin,17,2029,8794.051167200745,10391.026927719362
province,baseline,Jilin,17,2030,8917.044114149765,10316.12190359964
province,baseline,Jilin,17,2031,9045.115602171825,10279.134199335118
province,baseline,Jilin,17,2032,9164.84882801775,10227.598087307468
province,baseline,Jilin,17,2033,9278.783568762574,10164.807918752856
province,baseline,Jilin,17,2034,9390.123712100702,10094.564019679543
province,baseline,Jilin,17,2035,9499.465572718293,10017.65456753643
province,baseline,Liaoning,18,2024,27646.48848665947,43821.449314822275
province,baseline,Liaoning,18,2025,26926.30848010155,41676.37450817474
province,baseline,Liaoning,18,2026,26564.284804190323,40459.95178510936
province,baseline,Liaoning,18,2027,26284.157278758154,39384.124598852155
province,baseline,Liaoning,18,2028,26218.700608309795,38638.494997350375
province,baseline,Liaoning,18,2029,26261.923046105912,38053.57492179675
province,baseline,Liaoning,18,2030,26378.829583138715,37571.468376493045
province,baseline,Liaoning,18,2031,26602.963836222556,37346.14098501351
province,baseline,Liaoning,18,2032,26874.29696109318,37176.93074992196
province,baseline,Liaoning,18,2033,27186.39161199357,37052.16576959778
province,baseline,Liaoning,18,2034,27534.219003898015,36962.592117802415
province,baseline,Liaoning,18,2035,27907.892252210637,36892.94544181373
province,baseline,Ningxia,19,2024,8226.654303560861,12387.860163368092
province,baseline,Ningxia,19,2025,8218.379097545807,12069.100204103468
province,baseline,Ningxia,19,2026,8244.944812261456,11904.479636119562
province,baseline,Ningxia,19,2027,8293.779734893462,11770.150262445915
province,baseline,Ningxia,19,2028,8357.465523624234,11654.117517512332
province,baseline,Ningxia,19,2029,8428.564487750755,11545.093205283847
province,baseline,Ningxia,19,2030,8506.988549492242,11442.409584047367
province,baseline,Ningxia,19,2031,8606.875637099847,11400.580960713585
province,baseline,Ningxia,19,2032,8712.090358512824,11361.610833539402
province,baseline,Ningxia,19,2033,8821.864680425648,11324.186146619406
province,baseline,Ningxia,19,2034,8935.19920287404,11286.76447289105
province,baseline,Ningxia,19,2035,9051.841858662974,11248.81393402838
province,baseline,Qinghai,20,2024,4120.925979103216,5127.987779184464
province,baseline,Qinghai,20,2025,4087.0704625173594,4933.533618217534
province,baseline,Qinghai,20,2026,4058.1575210116043,4798.404213740158
province,baseline,Qinghai,20,2027,4012.6614454954693,4645.504507119944
province,baseline,Qinghai,20,2028,4009.5207279814545,4542.841319234745
province,baseline,Qinghai,20,2029,4013.6720440567783,4448.415144459924
province,baseline,Qinghai,20,2030,4023.770583952889,4360.228427390276
province,baseline,Qinghai,20,2031,4047.699034839951,4303.301317505016
province,baseline,Qinghai,20,2032,4074.8078969587395,4248.710720235835
province,baseline,Qinghai,20,2033,4105.104006067968,4196.268314093165
province,baseline,Qinghai,20,2034,4138.615350635747,4145.806407338835
province,baseline,Qinghai,20,2035,4173.68539943017,4095.502052017664
province,baseline,Shaanxi,21,2024,15026.766349898588,20584.804522676182
province,baseline,Shaanxi,21,2025,15079.342879115897,20094.820731910175
province,baseline,Shaanxi,21,2026,15192.68115210327,19870.627139908407
province,baseline,Shaanxi,21,2027,15317.8106376327,19655.96569080565
province,baseline,Shaanxi,21,2028,15459.863359050361,19456.421438762503
province,baseline,Shaanxi,21,2029,15608.473610860327,19257.951122397717
province,baseline,Shaanxi,21,2030,15762.88512360302,19059.154450654078
province,baseline,Shaanxi,21,2031,15951.462945991418,18960.640440622108
province,baseline,Shaanxi,21,2032,16144.199817695644,18859.264555565616
province,baseline,Shaanxi,21,2033,16342.008681434627,18755.819177977275
province,baseline,Shaanxi,21,2034,16545.41569052433,18650.585935713454
province,baseline,Shaanxi,21,2035,16753.00002257997,18541.648528955207
province,baseline,Shandong,22,2024,44636.50133814085,50015.26355540101
province,baseline,Shandong,22,2025,45226.71651731838,48991.000782756935
province,baseline,Shandong,22,2026,45931.655633291586,48620.19295820258
province,baseline,Shandong,22,2027,46899.60317837983,48486.47139334088
province,baseline,Shandong,22,2028,47958.951928525865,48397.173468663415
province,baseline,Shandong,22,2029,49109.447233570514,48345.27621562521
province,baseline,Shandong,22,2030,50345.735097054676,48318.887769172645
province,baseline,Shandong,22,2031,51753.29778171239,48610.39398660644
province,baseline,Shandong,22,2032,53246.13909590867,48922.628714452636
province,baseline,Shandong,22,2033,54816.07000673522,49242.99852643286
province,baseline,Shandong,22,2034,56457.919327284646,49562.22976488753
province,baseline,Shandong,22,2035,58167.3228931921,49872.164123152404
province,baseline,Shanghai,23,2024,12885.22012393022,18169.109515060092
province,baseline,Shanghai,23,2025,13052.667378563587,17918.749565253835
province,baseline,Shanghai,23,2026,13243.396441844485,17853.49771629564
province,baseline,Shanghai,23,2027,13450.730099470338,17800.799261894266
province,baseline,Shanghai,23,2028,13591.357867087234,17651.227770329602
province,baseline,Shanghai,23,2029,13716.820820232642,17475.389679079657
province,baseline,Shanghai,23,2030,13831.335198749552,17279.676015942485
province,baseline,Shanghai,23,2031,13961.615180357545,17156.642313999684
province,baseline,Shanghai,23,2032,14088.320533248596,17023.955462419857
province,baseline,Shanghai,23,2033,14217.507602704465,16889.02933388599
province,baseline,Shanghai,23,2034,14351.373784721813,16754.27684023725
province,baseline,Shanghai,23,2035,14486.973459308185,16616.032118080286
province,baseline,Shanxi,24,2024,20511.277438663834,33478.83194303542
province,baseline,Shanxi,24,2025,21327.090589247324,34015.55442399535
province,baseline,Shanxi,24,2026,22203.61769398655,34865.18273392554
province,baseline,Shanxi,24,2027,22912.4691149718,35412.36298471848
province,baseline,Shanxi,24,2028,23540.25910374346,35801.24638234975
province,baseline,Shanxi,24,2029,24105.66194387803,36065.7786936682
province,baseline,Shanxi,24,2030,24621.995054329287,36230.17842596407
province,baseline,Shanxi,24,2031,25152.231061163922,36495.53112521017
province,baseline,Shanxi,24,2032,25660.207212477708,36707.33288640799
province,baseline,Shanxi,24,2033,26151.894318730618,36875.36980373819
province,baseline,Shanxi,24,2034,26634.845508337374,37011.13783222283
province,baseline,Shanxi,24,2035,27114.258682148982,37122.28992091624
province,baseline,Sichuan,25,2024,21944.817721050866,31498.92961074572
province,baseline,Sichuan,25,2025,22279.6713986004,31149.20512896073
