province,year,CO2,GDP,Population,Energy,CoalShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual
Hainan,2001,7.538,558.41366,795.55,382.99173,12.624371027541509,20.4,41.42180608003767,200.0,8.275,0.7019215134183899,0.6858566640364778,0.0196818871258656,MEIC_1990_2023,0.7019215134183899,0.013498953446088693,2.0199568948449436,6.325100013899671,6.679033699353865,5.948013396258226,2.1132389212631266,-0.35393368545419446,-4.305143119054727,8,2.0134758528813896,0.006481041963553924
Hainan,2002,10.197,621.97402,803.13,501.9117141412983,15.653736894569011,20.7,42.30640474761088,200.0,10.94,0.7744375381320583,0.8069657220430176,0.0203163219998673,MEIC_1990_2023,0.7744375381320583,0.016394575451881412,2.3220935593820884,6.432898323378105,6.688516593745139,6.21842423598067,2.392425796993835,-0.2556182703670332,-4.1108047639960175,8,2.3156193388117985,0.006474220570289901
Hainan,2003,12.645,693.2,811.0,657.75668,19.24988295063761,22.52992,43.2059366379676,200.0,12.577,0.8547472256473491,0.9488699942296596,0.0192244341783043,MEIC_1990_2023,0.8547472256473491,0.01824148874783612,2.537261880121928,6.541318557841451,6.698268054115413,6.488835075703116,2.5318697490650184,-0.15694949627396176,-4.004056677719523,8,2.5317995967210996,0.00546228340082866
Hainan,2004,11.651,798.9,818.0,823.6244269999999,25.455537393866056,23.44936,44.119991260696025,400.0,14.5548,0.9766503667481662,1.0309480873701338,0.0141460107520584,MEIC_1990_2023,0.9766503667481662,0.014583802728752034,2.455392013237804,6.683235781487996,6.706862336602747,6.713714633528779,2.6779208361206983,-0.02362655511475089,-4.227843768250192,8,2.4723534267448004,-0.016961413506996426
Hainan,2005,16.967,897.99,828.0,623.2239860000001,13.024641352619568,24.6,45.2,200.0,16.4035,1.0845289855072464,0.6940210759585297,0.0272245619249962,MEIC_1990_2023,1.0845289855072464,0.01889441975968552,2.8312702810608026,6.800158932382734,6.71901315438526,6.434905982262604,2.7974947266946355,0.0811457779974748,-3.968888651321932,8,2.7950190259901047,0.03625125507069793
Hainan,2006,19.498,1044.91,836.0,736.1325712000003,9.817398771282624,27.4,46.1,200.0,19.2307,1.2498923444976078,0.704493756591477,0.026487076870156,MEIC_1990_2023,1.2498923444976078,0.01865998028538343,2.97031189620708,6.951686036288078,6.728628613084702,6.601410226421556,2.9565079603942297,0.2230574232033767,-3.9813741400809985,8,2.9356535984257404,0.03465829778133944
Hainan,2007,21.459,1254.17,845.0,830.9303240000002,9.103232944474897,29.8,47.2,400.0,22.106,1.484224852071006,0.6625340456237991,0.0258252700379243,MEIC_1990_2023,1.484224852071006,0.01711012063755312,3.0661441377943564,7.134229278192799,6.739336627357174,6.722545945371467,3.0958490648887635,0.3948926508356247,-4.068085140398442,8,3.029761040751581,0.036383097042775425
Hainan,2008,23.737,1503.06,854.0,980.0383172,9.497997615638534,29.8,48.0,400.0,25.8088,1.760023419203747,0.6520287395047437,0.0242204815703709,MEIC_1990_2023,1.760023419203747,0.01579245006852687,3.1670350121988147,7.315258309115867,6.74993119378857,6.887591670083938,3.250715519042532,0.5653271153272968,-4.148223296917052,8,3.132050710819586,0.03498430137922881
Hainan,2009,25.992,1654.21,864.0,1027.3911354000002,12.76520299631933,26.8,49.13,400.0,30.6408,1.9145949074074076,0.6210766078067477,0.0252990308212853,MEIC_1990_2023,1.9145949074074073,0.015712636243282292,3.257788798366799,7.4110788324577666,6.761572768804055,6.934777989808286,3.4223324541921136,0.6495060636537106,-4.153290034090967,8,3.218284768562419,0.03950402980437984
Hainan,2010,26.304,2064.5,869.0,1154.6040618,10.81500170762694,27.7,49.8,700.0,39.2445,2.375719217491369,0.5592657116977476,0.0227818356701367,MEIC_1990_2023,2.3757192174913695,0.012741099539840154,3.2697210188737693,7.632643345326145,6.767343125265392,7.051512760548932,3.669811307021123,0.8653002200607529,-4.3629223264523755,8,3.2406047324182623,0.029116286455507012
Hainan,2011,33.663,2522.66,890.0,1500.5994626000002,9.904925378453216,28.3,50.34,700.0,47.8055,2.834449438202247,0.5948480820245298,0.0224330348230793,MEIC_1990_2023,2.834449438202247,0.01334424773849825,3.5163993113508387,7.8330691793539815,6.7912214627261855,7.313619948988147,3.867140695639705,1.041847716627796,-4.316669868003142,8,3.483466111555124,0.03293319979571452
Hainan,2012,36.098,2855.54,910.0,1520.8831738,11.238901313696685,28.17225,51.02,700.0,55.4616,3.137956043956044,0.5326079038640678,0.0237348933973721,MEIC_1990_2023,3.137956043956044,0.012641391820811474,3.5862374621420567,7.957016246061437,6.813444599510896,7.327046480499352,4.015690889392839,1.1435716465505414,-4.370778783919381,8,3.546094549364234,0.04014291277782256
Hainan,2013,41.123,3177.56,920.0,1527.6993704,9.877065862800723,27.7,52.28,700.0,64.8038,3.453869565217391,0.4807775055073705,0.0269182542041846,MEIC_1990_2023,3.453869565217391,0.01294169110890117,3.716567575684106,8.063868885654804,6.824373670043086,7.331518203248793,4.171364243614164,1.2394952156117187,-4.347301309970699,8,3.6659044027327834,0.05066317295132272
Hainan,2014,40.884,3500.72,936.0,1571.5088144,9.28582052247126,25.0,53.3,693.734,75.1062,3.7400854700854698,0.448910171164789,0.0260157624477654,MEIC_1990_2023,3.7400854700854698,0.0116787403734089,3.7107387884668297,8.160723940606937,6.841615476477592,7.359791465130578,4.318903111953693,1.319108464129345,-4.4499851521401075,8,3.6625385333339207,0.04820025513290904
Hainan,2015,43.276,3702.76,945.0,1615.5744686000005,8.340853214694086,23.65317,54.91,1033.42,83.2925,3.918264550264551,0.4363162799101212,0.0267867565631322,MEIC_1990_2023,3.9182645502645506,0.011687497974483898,3.7675982088253273,8.216833766498864,6.851184927493743,7.38744588051908,4.422358509104906,1.3656488390051216,-4.449235557673537,8,3.7165806250720186,0.05101758375330867
Hainan,2016,38.588,4053.2,957.0,1649.5493878000004,9.478535662913842,22.35148,56.7,1033.4,96.3181,4.2353187042842215,0.4069745849699004,0.0233930552703636,MEIC_1990_2023,4.2353187042842215,0.009520378959834206,3.652941347308307,8.307261971574162,6.863803391452954,7.408257431293464,4.567656255452332,1.4434585801212083,-4.654320624265855,8,3.6135843979099374,0.03935694939836987
Hainan,2017,42.091,4462.54,972.0,1675.0702132,9.919492549663111,22.32697,58.04,1033.42,113.2075,4.591090534979424,0.3753625095125198,0.0251279019042376,MEIC_1990_2023,4.591090534979424,0.009432072317559059,3.739833941112745,8.403473389633156,6.879355804460439,7.423610361708977,4.729222417991317,1.524117585172717,-4.663639448520411,8,3.6943813217889634,0.04545261932378164
Hainan,2018,43.485,4832.05,982.0,1755.9097283999995,10.1174975072255,22.68,59.13,1033.42,126.8996,4.920621181262729,0.3633881537649651,0.0247649405300715,MEIC_1990_2023,4.920621181262729,0.00899928601732184,3.7724160510417284,8.483026087243234,6.889591308354466,7.470742365356566,4.843396222627116,1.5934347788887673,-4.710610036201505,8,3.727752430025674,0.04466362101605448
Hainan,2019,42.486,5308.93,995.0,1869.3653732,9.351366592436468,20.7,59.37,1033.42,137.2361,5.335608040201005,0.3521171635715671,0.0227274991872091,MEIC_1990_2023,5.335608040201005,0.008002742548875195,3.749174609897692,8.577145587339466,6.902742737158593,7.533354279628392,4.921702800215439,1.6744028501808736,-4.827970977441775,8,3.7093027878911515,0.03987182200654038
Hainan,2020,40.496,5532.39,1012.0,1765.0483378,8.93833866310106,19.1,60.27,1033.0,149.05,5.466788537549408,0.3190390297502525,0.0229432810041198,MEIC_1990_2023,5.466788537549408,0.007319802110841788,3.7012032038027685,8.618375189215119,6.919683849847411,7.475933355847908,5.00428182012408,1.6986913393677077,-4.91717198541235,8,3.6604359047611976,0.04076729904157084
Hainan,2021,40.633,6475.2,1020.0,1908.2639216,8.791667080271232,19.13146,60.97,1033.42,168.7188,6.348235294117647,0.2947034719545343,0.0212931762425875,MEIC_1990_2023,6.3482352941176465,0.006275172967630344,3.7045805443400206,8.7757347741216,6.927557906278317,7.55394916613212,5.128233423769693,1.8481768678432844,-5.07115422978158,8,3.6673972297053075,0.03718331463471314
Hainan,2022,39.515,6818.2,1027.0,1913.8097732,7.846913737351169,19.2,61.49,1033.42,182.2725,6.638948393378773,0.2806913515590625,0.020647297632893,MEIC_1990_2023,6.638948393378773,0.005795517878618991,3.676680346656939,8.827350786383189,6.934397209928558,7.556851180030838,5.2055028200587286,1.89295357645463,-5.150670439726249,8,3.642963842614598,0.033716504042340834
Hainan,2023,43.599,7551.2,1043.0,2107.451684079416,7.592050115418621,16.97056705785592,63.3432037013965,1033.4,198.0843,7.239884947267497,0.279088314980323,0.0206880187713746,MEIC_1990_2023,7.239884947267497,0.005773784299184235,3.775034214312143,8.929461770010734,6.949856455000773,7.653234763909495,5.288692697661253,1.9796053150099622,-5.154427555698591,8,3.7356448281480996,0.039389386164043305
Hebei,1990,140.724,896.33,6159.0,1843.2869178427504,60.16738328448879,36.60972715651113,22.1978927265753,3600.0,35.5487,0.145531742165936,2.056482453831457,0.0763440561736819,MEIC_1990_2023,0.14553174216593603,0.15700021197550007,4.946800525266927,6.798308648739248,8.725669705687043,7.519305625337438,3.570903587366833,-1.927361056947796,-1.8515081234723196,9,4.93356987410476,0.013230651162167817
Hebei,1991,148.498,1072.07,6220.0,2185.0469572861143,61.85257392770582,38.48732109289621,22.98807237007331,3600.0,39.8152,0.1723585209003215,2.03815698348626,0.0679610108628687,MEIC_1990_2023,0.17235852090032153,0.13851520889494157,5.000571490138592,6.977346638006355,8.735525185733225,7.6893925980475615,3.684248748929242,-1.7581785477268699,-1.9767751478677635,9,4.991535341142347,0.00903614899624472
Hebei,1992,159.065,1278.5,6275.0,2576.102170636289,63.39529219696436,40.277855487819394,23.809845369309848,3600.0,46.0722,0.2037450199203187,2.014941079887594,0.0617463863868067,MEIC_1990_2023,0.20374501992031874,0.12441533046538912,5.069312923713667,7.153442794731241,8.744328763999984,7.854032748951795,3.830209731226378,-1.5908859692687434,-2.084129871017574,9,5.064582943414195,0.004729980299472025
