scenario,province,province_id,year,stirpat_log_energy_pred,residual_pred,hybrid_log_energy_pred,energy_pred,co2_pred,Population,pGDP,GDP,Energy,EnergyIntensity,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,CarbonIntensity,log_Population,log_pGDP,log_GDP,log_Energy,log_CarbonIntensity,energy_pred_raw
baseline,Qinghai,20,2031,8.392215690253142,0.001691516488790512,8.703819760438606,6025.8857526326365,6893.779322302425,594.2968514257499,9.138768370237262,5431.141268341236,4340.880833311822,0.8290170880412309,17.605175469447055,18.876019948648572,18.174955611144934,45.34384897075944,27.049591502689758,69.30084150658004,0.013021171617155854,6.387378944404264,2.212525624771065,8.59990456917533,8.375832563485758,-4.3411786602935365,4328.601775932477
baseline,Qinghai,20,2032,8.40861536542382,0.001800142228603363,8.71519217827536,6094.805794208199,6738.280465917788,593.999703000037,9.504319105046752,5645.562725615348,4380.544997243666,0.8104471052691073,16.205175469447056,18.77601994864857,18.224955611144935,46.79384897075944,26.249591502689757,69.80084150658004,0.01265657881187549,6.3868788193625825,2.251746337924346,8.638625157286928,8.384928424224341,-4.369578134815234,4378.109421216157
baseline,Qinghai,20,2033,8.425003056180216,0.001894686371088028,8.728140772396149,6174.238119312171,6588.699605716764,593.702703148537,9.884491869248622,5868.449542022642,4430.646734270751,0.7922930901110794,14.805175469447056,18.67601994864857,18.274955611144936,48.243848970759444,25.449591502689756,70.30084150658004,0.012302194605142976,6.3863786943209,2.290967051077627,8.677345745398528,8.396300842061097,-4.397977609336932,4435.1684026880985
baseline,Qinghai,20,2034,8.441377961989186,0.0019669197499752045,8.742171743794412,6261.479285679376,6441.043179424793,593.4058517969628,10.279871544018567,6100.135929941697,4488.390423520355,0.7745457248925912,13.405175469447055,18.576019948648568,18.324955611144937,49.69384897075944,24.649591502689756,70.80084150658004,0.011957733156198972,6.3858785692792175,2.330187764230909,8.716066333510126,8.409249436181884,-4.426377083858631,4497.836744434624
baseline,Qinghai,20,2035,8.457739203821099,0.0020502060651779175,8.756950944799282,6354.7061590652365,6292.605119443369,593.1091488710643,10.69106640577931,6340.969296455795,4551.810785367839,0.7571959006549972,12.005175469447055,18.476019948648567,18.374955611144937,51.143848970759436,23.849591502689755,71.30084150658004,0.0116229166278254,6.385378444237536,2.36940847738419,8.754786921621726,8.423280407580146,-4.4547765583803285,4564.804826185322
baseline,Shaanxi,21,2024,9.350157816840209,-0.007453320547938347,9.663554387002819,15733.608733540885,22139.482440504868,3953.9759999999997,8.976570091093118,35493.1427025,11337.585580916239,0.32152842159875533,40.292964366632056,10.744481624641452,7.303363092349791,41.6591909163767,41.52632037919486,66.90726207887329,0.01061484734846579,8.28247693390941,2.1946178595858035,10.477094793495214,9.33587864287704,-4.545501564668354,11301.994345989344
baseline,Shaanxi,21,2025,9.396913643965462,-0.007178254425525665,9.701882051354016,16348.346690314718,22894.48404002314,3955.9529879999996,9.425398595647774,37286.43373754381,11776.678108520897,0.3210139761241973,40.09296436663205,10.594481624641451,7.403363092349791,41.9091909163767,40.326320379194854,67.65726207887329,0.010593617653768858,8.28297680895106,2.2434080237552356,10.526384832706297,9.373876423254456,-4.547503567339026,11743.58184377119
baseline,Shaanxi,21,2026,9.438518640327292,-0.006815195083618164,9.740343474379985,16989.375794007814,23695.012135980356,3955.9529879999996,9.849541532451923,38964.32325573328,12236.81228120958,0.32050035376239855,39.89296436663205,10.494481624641452,7.50336309234979,42.109190916376704,39.12632037919485,68.3072620788733,0.01057243041846132,8.28297680895106,2.28742490917201,10.57040171812307,9.412204087605652,-4.5495055700097,12204.05518007002
baseline,Shaanxi,21,2027,9.480111835575867,-0.006444554775953293,9.778934029774668,17657.82010674177,24526.28592262999,3955.9529879999996,10.29277090141226,40717.71780224128,12716.62549763296,0.31998755319637867,39.69296436663205,10.394481624641452,7.60336309234979,42.309190916376714,37.92632037919485,68.9572620788733,0.010551285557624397,8.28297680895106,2.3314417945887844,10.614418603539844,9.450665510631621,-4.551507572680372,12684.221807515298
baseline,Shaanxi,21,2028,9.52183731468546,-0.006074350327253342,9.812561845490132,18261.710884036067,25260.61864996339,3955.9529879999996,10.755945591975811,42550.015103342135,13140.853792585849,0.31947557311126445,39.492964366632044,10.294481624641453,7.7033630923497896,42.50919091637671,37.12632037919485,69.6072620788733,0.010530182986509148,8.28297680895106,2.3754586800055586,10.658435488956618,9.48348126653242,-4.553509575351046,13118.01740178512
baseline,Shaanxi,21,2029,9.54661720118404,-0.0058752261102199554,9.840748746004445,18783.775032453654,25275.745651937148,3955.9529879999996,11.239963143614721,44464.76578299252,13511.557923838674,0.3133416421075282,38.092964366632046,10.194481624641453,7.803363092349789,43.90919091637671,36.326320379194854,70.25726207887331,0.010277458594832927,8.28297680895106,2.4194755654223328,10.702452374373394,9.511300740652137,-4.577802267920091,13493.034103521255
baseline,Shaanxi,21,2030,9.571391343107924,-0.005626959726214409,9.86881833868921,19318.497559849024,25268.128518986512,3955.9529879999996,11.745761485077383,46465.68024322719,13897.825126626893,0.30732548257906367,36.69296436663205,10.094481624641453,7.903363092349789,45.30919091637671,35.52632037919486,70.90726207887332,0.010030799588556938,8.28297680895106,2.463492450839107,10.746469259790167,9.53948764116645,-4.6020949604891355,13877.143755899493
