province,year,base_year,delta_CO2,delta_P,delta_A,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
Jiangsu,1993,1992,14.448000000000008,1.1898392443449202,48.79799064502285,-27.814383659150486,-7.725446230217187,-8.526512829121202e-14,5.901517738871261e-15,5.901517738871261e-15
Jiangsu,1994,1993,6.878999999999991,1.2213725126366055,46.63748151133413,-24.801210738362773,-16.17864328560805,7.815970093361102e-14,1.1362073111442234e-14,1.1362073111442234e-14
Jiangsu,1995,1994,29.936000000000007,1.1257121076905228,41.069514368080256,-17.329691505528455,5.070465029757751,-7.105427357601002e-14,2.37353933645143e-15,2.37353933645143e-15
Jiangsu,1996,1995,0.7740000000000009,1.191733025338541,28.074214263499318,-3.0639582598913124,-25.427989028946676,1.3145040611561853e-13,1.6983256604085062e-13,1.6983256604085062e-13
Jiangsu,1997,1996,-4.989000000000004,1.0120133178063284,19.247414510184587,54.08212211609005,-79.33054994408087,-9.947598300641403e-14,1.9939062538868297e-14,1.9939062538868297e-14
Jiangsu,1998,1997,3.3220000000000027,0.8970091626589476,13.262405262250425,-11.57971377300388,0.7422993480943976,1.1102230246251565e-13,3.342031982616362e-14,3.342031982616362e-14
Jiangsu,1999,1998,6.930000000000007,0.8361781557844888,12.144714888618068,-16.836520230626224,10.785627186223628,4.440892098500626e-14,6.408213706350103e-15,6.408213706350103e-15
Jiangsu,2000,1999,5.956999999999994,3.145504126456315,18.681698302473876,-13.846596295995326,-2.023606132934835,-3.730349362740526e-14,6.2621275184497735e-15,6.2621275184497735e-15
Jiangsu,2001,2000,1.252999999999986,0.8899258940477415,18.91567783989631,-34.17136733444247,15.618763600498479,-7.460698725481052e-14,5.954268735419901e-14,5.954268735419901e-14
Jiangsu,2002,2001,16.706000000000017,1.3565640845943907,23.09696422106293,6.673068683146706,-14.42059698880418,1.7053025658242404e-13,1.0207725163559431e-14,1.0207725163559431e-14
Jiangsu,2003,2002,32.912000000000006,1.6625741381569674,36.27280304008605,-13.406982801545544,8.383605623302657,-1.2789769243681803e-13,3.8860504508026865e-15,3.8860504508026865e-15
Jiangsu,2004,2003,58.21799999999999,2.4520190771419075,50.42789924977739,15.171702570550675,-9.833620897469922,-6.394884621840902e-14,1.0984377034320833e-15,1.0984377034320833e-15
Jiangsu,2005,2004,79.82499999999999,3.020312336208598,72.39078860241759,1.0369803778194508,3.3769186835540883,2.5579538487363607e-13,3.2044520497793436e-15,3.2044520497793436e-15
Jiangsu,2006,2005,35.92599999999999,3.6596307148958562,60.3957980419303,-24.570799379343516,-3.5586293774824087,-2.4868995751603507e-13,6.9222835137793e-15,6.9222835137793e-15
Jiangsu,2007,2006,26.07800000000003,3.845452252755832,75.40009432186741,-33.65309038771088,-19.514456186912444,1.1013412404281553e-13,4.223258073579853e-15,4.223258073579853e-15
Jiangsu,2008,2007,24.081999999999994,2.3495220908062118,79.09018505491244,-44.41765802522896,-12.94004912048985,1.4566126083082054e-13,6.048553310805605e-15,6.048553310805605e-15
Jiangsu,2009,2008,16.278999999999996,3.000337008621646,48.74091160355202,-17.229878042708485,-18.232370569464972,-2.1671553440683056e-13,1.3312582738917046e-14,1.3312582738917046e-14
Jiangsu,2010,2009,47.31900000000002,3.899703911366775,91.53300724655307,-45.74942998339561,-2.364281174524142,-7.105427357601002e-14,1.50160133510873e-15,1.50160133510873e-15
Jiangsu,2011,2010,72.60199999999998,11.19709395427244,87.1151798639273,-61.87697933799766,36.16670551979771,1.8474111129762605e-13,2.5445733078651567e-15,2.5445733078651567e-15
Jiangsu,2012,2011,21.989000000000033,7.519667815703019,52.5447791999524,-37.12673585435631,-0.9487111612989462,-1.2789769243681803e-13,5.816439694247935e-15,5.816439694247935e-15
Jiangsu,2013,2012,11.487999999999943,5.671933789927597,58.68340967382347,-31.68194115044862,-21.185402313302614,1.1013412404281553e-13,9.586884056651818e-15,9.586884056651818e-15
Jiangsu,2014,2013,-14.057000000000016,6.928666571632449,47.90703666684728,-28.849605894690264,-40.043097343789626,1.4210854715202004e-13,1.0109450604824634e-14,1.0109450604824634e-14
Jiangsu,2015,2014,10.892000000000053,2.6208248877156866,44.97522334740307,-33.75659590208826,-2.947452333030182,-2.6645352591003757e-13,2.4463232272313282e-14,2.4463232272313282e-14
