province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,A,B,C,EnergyIntensity,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual,true_energy,true_co2,stirpat_energy_pred,observed_co2_per_energy,stirpat_co2_pred,hybrid_residual_pred,hybrid_energy_pred,hybrid_co2_pred
Jilin,2011,238.332,10568.83,2725.0,7521.540002400001,4219.964366000002,1467.31679,195.51,1638.7488464000005,56.1050578027037,19.508196320591303,2.599334709881433,21.787411166823578,53.1,53.4,3.878469724770642,0.7116719639165358,0.0316865960859015,0.7116719639165358,MEIC_1990_2023,3.878469724770642,0.0225504620662835,5.473664659604655,9.265664382103754,7.910223707097344,8.925526183530968,1.355440675006409,-3.791999722499099,17,8.966485865752007,-0.0409596822210396,7521.540002400001,238.332,7836.0163513009065,0.031686596085901575,248.29668504619204,-0.008465899154543877,7769.957445658467,246.20350318522338
Jilin,2012,233.088,11939.24,2698.0,7503.563292000002,4104.824096,1367.514374,236.87300000000008,1794.3518220000003,54.7049972961033,18.22486625065173,3.156806850054088,23.91332960319088,53.41018,54.54,4.425218680504077,0.6284791403807949,0.0310636414899717,0.6284791403807949,MEIC_1990_2023,4.425218680504077,0.0195228507007146,5.451416064665088,9.387585733329455,7.900266036767701,8.923133292297472,1.4873196965617537,-3.936169668664367,17,9.031517377241698,-0.1083840849442268,7503.563292000002,233.088,8362.539076424904,0.031063641489971715,259.7709158159424,-0.03596387058496475,8067.133604499655,250.59454614188056
Jilin,2013,234.09,13046.4,2668.0,7460.966407399999,3777.3805120000006,1413.781421,259.616,2010.1884744,50.628568817217655,18.949038821536192,3.479656465716096,26.942735895530067,52.8,55.74,4.889955022488755,0.5718793235988472,0.0313752920490062,0.5718793235988472,MEIC_1990_2023,4.889955022488755,0.0179428807947019,5.45570565679678,9.476267512624934,7.889084407035514,8.91744023003543,1.58718310558942,-4.020561855828155,17,9.069771816483629,-0.1523315864481986,7460.966407399999,234.09,8688.640974847962,0.03137529204900626,272.6086480948173,-0.07446202635765076,8065.167750249741,253.04699358831243
Jilin,2014,229.502,13803.14,2642.0,7296.3286584,3600.0595540000004,1409.396782,258.153,2028.7193224,49.34069889869039,19.31651996483756,3.5381218704121524,27.804659266059907,52.8,56.81,5.22450416351249,0.5285991925315544,0.0314544493189438,0.5285991925315544,MEIC_1990_2023,5.22450416351249,0.0166267965115183,5.435911744059578,9.532651381494738,7.879291485082271,8.895126577121188,1.6533598964124672,-4.09673963743516,17,9.09734488417838,-0.2022183070571923,7296.3286584,229.502,8931.546902014788,0.031454449318943804,280.9368893691937,-0.11262475699186325,7980.210967995085,251.0131414472809
Jilin,2015,208.214,14063.13,2613.0,7067.559876200001,3336.544071,1316.74705,258.286,2155.9827552,47.2092791493116,18.63085807640829,3.654528642477834,30.505334131802258,49.81615,57.64,5.381986222732492,0.5025595209743493,0.0294605215445235,0.5025595209743493,MEIC_1990_2023,5.381986222732492,0.0148056655950702,5.3385663969557,9.551311757943283,7.868254265520613,8.863270561579965,1.6830574924226736,-4.2127453609875865,17,9.063734177708588,-0.2004636161286228,7067.559876200001,208.214,8636.340144832551,0.029460521544523506,254.43108490267264,-0.15470300614833832,7398.48975765435,217.96336690231246
Jilin,2016,208.796,14776.8,2567.0,6750.2372828,3096.953426,1380.91287,269.325,2003.0459868000005,45.87917870518743,20.45724931060789,3.9898597444308495,29.673712239773835,47.40505,58.75,5.756447214647448,0.4568131992582968,0.0309316534000996,0.4568131992582968,MEIC_1990_2023,5.756447214647448,0.0141299875480482,5.341357698736862,9.60081366226511,7.85049318087114,8.81733293625613,1.7503204813939697,-4.259455963528248,17,9.053613786480824,-0.2362808502246931,6750.2372828,208.796,8549.377792543642,0.030931653400099644,264.4463906654689,-0.1734686940908432,7187.833560096194,222.33157637849976
Jilin,2017,205.66,14944.53,2526.0,6574.8539656,2589.183034,1442.916752,313.481,2229.2731796,39.38008429611896,21.94598936416566,4.767877760329734,33.90604857938565,46.82991,59.71,5.916282660332542,0.439950534784299,0.0312797821937984,0.439950534784299,MEIC_1990_2023,5.916282660332542,0.013761556904098,5.326224319801044,9.612100625578488,7.834392302910435,8.791007646244175,1.7777083226680512,-4.285876305777443,17,9.050168694537977,-0.2591610482937998,6574.8539656,205.66,8519.975076604976,0.03127978219379845,266.50296469279493,-0.19402363896369934,7017.378930490487,219.50208451709273
Jilin,2018,193.352,15074.62,2484.0,5855.274221199999,2068.920232,1413.908534,379.449,1992.9964552,35.33430124432308,24.14760574117448,6.480465058769433,34.037627955733015,42.53,60.85,6.068687600644123,0.3884193579141629,0.0330218522131613,0.3884193579141629,MEIC_1990_2023,6.068687600644123,0.0128263266337725,5.264512361935676,9.620767813980828,7.81762544305337,8.675098110323631,1.8031423709274583,-4.356255452045152,17,8.983796293664884,-0.308698183341253,5855.274221199999,193.352,7972.841985973559,0.03302185221316138,263.27800977970696,-0.21378107368946075,6438.270453935713,212.60361543822856
Jilin,2019,203.019,11726.82,2448.0,5935.367461999998,2177.542827,1389.9623809999998,370.671,1997.191254,36.68758237701847,23.41830375118231,6.245123025206895,33.64899084659235,35.2,61.63,4.790367647058823,0.5061361444961208,0.0342049588841446,0.5061361444961208,MEIC_1990_2023,4.790367647058823,0.0173123660122693,5.313299570721063,9.369633805149098,7.803026643632217,8.688684219533217,1.5666071615168804,-4.056334234428034,17,8.748614206688245,-0.0599299871550282,5935.367461999998,203.019,6301.948855513736,0.03420495888414466,215.55790149282984,-0.24050481617450714,4954.786660872338,169.47827401484673
Jilin,2020,200.4,12311.32,2399.0,5824.9084926,1928.552649,1369.5928360000005,408.709,2118.0540076,33.10872010178435,23.512692735687427,7.016573745651566,36.36201341687666,35.1,62.64,5.131854939558149,0.4731343586715315,0.0344039739430395,0.4731343586715315,MEIC_1990_2023,5.131854939558149,0.016277702147292,5.300315369210709,9.41827444332418,7.782807262839695,8.669898568885614,1.6354671804844851,-4.11795907411347,17,8.772794581183364,-0.1028960122977498,5824.9084926,200.4,6456.189623468711,0.03440397394303952,222.11857957713966,-0.17154687643051147,5438.4409285245565,187.10397999571848
