province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,A,B,C,EnergyIntensity,CO2_source
Jiangxi,2002,70.47,2450.48,4222.4,1996.4670908000003,1098.749649,545.5460229999999,0.7584458395866218,352.1714188,55.034698746760824,27.32557052975991,0.037989398527110536,17.63973072347925,38.8,32.56079499077834,0.5803524062144753,0.8147249072834711,0.035297351168339125,0.8147249072834711,MEIC_1990_2023
Jiangxi,2003,83.277,2807.41,4254.0,2292.3723636,1222.595381,675.580925,1.457059439630535,394.1960575999999,53.33319317634789,29.470819650741664,0.06356120248031309,17.195987172910442,43.36327,33.97507371035243,0.6599459332393042,0.8165434915455884,0.036327867724430106,0.8165434915455884,MEIC_1990_2023
Jiangxi,2004,96.667,3456.7,4284.0,2440.734408200001,1379.0740230000001,566.797504,2.523313742120891,494.8628811999999,56.5024206798905,23.22241625699878,0.103383380577725,20.275163063110693,45.64552,35.41652031957833,0.8068860877684406,0.7060880053808548,0.03960570215064499,0.7060880053808548,MEIC_1990_2023
Jiangxi,2005,98.352,4056.76,4311.0,2732.4573609999998,1488.539708,699.5678810000002,2.793,541.556772,54.47622822027268,25.602151784135387,0.10221568467505175,19.819404310916898,47.3,37.0,0.9410252841568082,0.6735565724864176,0.035993974289869994,0.6735565724864176,MEIC_1990_2023
Jiangxi,2006,112.289,4820.53,4339.0,3193.602285200001,1821.0526520000005,776.399184,9.044,587.1064492,57.021898451139045,24.311079297445378,0.28319118012635114,18.38383107128921,49.7,38.68,1.1109771836828761,0.6625002406789298,0.03516060860814666,0.6625002406789298,MEIC_1990_2023
Jiangxi,2007,126.939,5800.25,4368.0,3594.5534566000006,2109.4553290000003,773.4810820000004,13.832,697.7850456000001,58.68476723101183,21.518141024716236,0.3848044038572554,19.41228734041468,51.7,39.8,1.3278960622710623,0.6197238837291497,0.035314261293548393,0.6197238837291497,MEIC_1990_2023
Jiangxi,2008,134.112,6971.05,4400.0,3868.5973898,2311.1966580000003,775.057417,33.24999999999999,749.0933147999999,59.74249644312264,20.034584602769147,0.8594846309845379,19.363434323123677,52.7,41.36,1.5843295454545454,0.5549518924408805,0.03466682791897695,0.5549518924408805,MEIC_1990_2023
Jiangxi,2009,139.102,7655.18,4432.0,4173.2360132,2509.910213,778.2966210000002,34.31400000000001,850.7151791999999,60.14302102879208,18.64971495832581,0.8222396215182743,20.38502439136384,51.2,43.18,1.7272518050541517,0.5451519119341414,0.03333192744431864,0.5451519119341414,MEIC_1990_2023
Jiangxi,2010,156.291,9451.26,4462.0,4613.739581399999,2539.02873,1046.7640178,51.07200000000001,976.8748336,55.031903842946285,22.687973591313284,1.1069545452000273,21.17316802054042,54.2,44.06,2.1181667413715823,0.4881613225538181,0.03387512390818011,0.4881613225538181,MEIC_1990_2023
Jiangxi,2011,172.7,11702.82,4474.0,4875.180535200001,2743.734097,1066.297649,57.855,1007.2937892,56.27964087051887,21.87196230582784,1.1867252829361434,20.661671540717137,54.6,45.75,2.615739830129638,0.4165816901567316,0.03542432916136409,0.4165816901567316,MEIC_1990_2023
Jiangxi,2012,168.905,12948.88,4475.0,5263.024688800001,2900.9952649999996,1139.2409670000002,112.25200000000002,1110.5364568000002,55.1203050818567,21.64612621757914,2.132841980370685,21.100726720193457,53.61537,47.39,2.893604469273743,0.40644632499490313,0.0320927622398274,0.40644632499490313,MEIC_1990_2023
Jiangxi,2013,180.388,14410.19,4476.0,6022.9582878,3260.662491,1340.260776,156.674,1265.3610208,54.137225183922354,22.252532924141434,2.6012798447792034,21.008962047157016,53.5,49.04,3.219434763181412,0.41796522376179635,0.029950066293069108,0.41796522376179635,MEIC_1990_2023
Jiangxi,2014,184.685,15714.63,4480.0,6368.357387999999,3474.422201,1368.3090550000002,181.54500000000007,1344.081132,54.557588233771405,21.486059459827544,2.8507351101571072,21.10561719624395,52.5,50.55,3.5077299107142856,0.4052502278450081,0.029000413881922673,0.4052502278450081,MEIC_1990_2023
Jiangxi,2015,194.834,16723.78,4485.0,6772.0125004,3683.8340879999996,1479.5361119999998,204.81999999999996,1403.8223004000001,54.39792215065179,21.847805388909258,3.024507116428121,20.729765344010826,50.29706,52.3,3.7288249721293196,0.4049331251905969,0.028770472586766755,0.4049331251905969,MEIC_1990_2023
Jiangxi,2016,198.965,18499.0,4496.0,6871.586665600003,3602.484692,1503.62625,230.622,1534.8537235999997,52.4258059646468,21.881791253937546,3.3561681053157892,22.33623467609983,47.72982,53.99,4.114546263345196,0.3714571958268016,0.02895473923017561,0.3714571958268016,MEIC_1990_2023
Jiangxi,2017,211.492,20006.31,4511.0,7141.937605,3646.142478000001,1581.695465,253.365,1660.7346619999998,51.05256695952332,22.146587557593204,3.5475666970630164,23.253278785820473,48.12472,55.7,4.435005542008424,0.3569842517185828,0.02961269219881402,0.3569842517185828,MEIC_1990_2023
Jiangxi,2018,214.831,21984.78,4513.0,7242.647742199999,3367.69823,1733.0533590000005,312.6830000000001,1829.2131532000003,46.498164067510494,23.92845021168425,4.317247105338589,25.25613861546669,46.62,57.34,4.871433636162198,0.32943917301878844,0.02966194237892671,0.32943917301878844,MEIC_1990_2023
Jiangxi,2019,222.256,24757.5,4516.0,7443.412629199998,3325.7845239999997,1813.3347779999997,322.39200000000005,1981.9013272000004,44.680910352237824,24.361604929524013,4.3312391245821615,26.626245593656023,44.2,59.07,5.482174490699734,0.3006528376936281,0.029859422159145783,0.3006528376936281,MEIC_1990_2023
Jiangxi,2020,221.404,25691.5,4519.0,7410.4654518,3233.6122849999997,1666.4823000000001,338.3519999999999,2172.0188668,43.63575143872449,22.488227100434184,4.565867045744263,29.310154415097063,43.1,60.44,5.685217968577119,0.2884403577759181,0.029877205614152216,0.2884403577759181,MEIC_1990_2023
Jiangxi,2021,227.472,29619.7,4517.0,7552.5795636,3049.5935880000006,1546.5081959999998,452.4659999999999,2504.0117796000004,40.378172282986,20.476556161731367,5.990880283879171,33.15439127140346,44.50828,61.46,6.557383218950631,0.25498501212368796,0.030118451329703512,0.25498501212368796,MEIC_1990_2023
Jiangxi,2022,233.584,32074.7,4528.0,7890.714119199999,3127.0880660000003,1535.2544199999998,513.114,2715.2576332,39.6299754212492,19.45646993171832,6.502757446901677,34.41079720013081,44.8,62.07,7.083635159010601,0.24601053538146886,0.029602390413769285,0.24601053538146886,MEIC_1990_2023
Jiangxi,2023,242.909,32200.1,4515.0,8824.430560947874,3659.547072218846,1716.5230145515511,432.7386567862337,2824.3541092966652,41.470631412909626,19.45194086684695,4.903870610091255,32.00607778359908,41.24241117567491,64.37063394178365,7.131805094130675,0.27404978745245745,0.02752687534026082,0.27404978745245745,MEIC_1990_2023
Jilin,1990,71.931,425.28,2483.0,770.7141425992903,378.3524784392696,162.61225488267684,6.374242420366109,183.54666173404448,49.09115553053795,21.098906312300823,0.8270566307332191,23.815141255228536,21.848854118330333,57.54085960257203,0.1712766814337495,1.8122510877522817,0.0933303231693756,1.8122510877522817,MEIC_1990_2023
Jilin,1991,76.317,463.47,2509.0,916.2465502629451,461.51283274218883,193.91230127232197,7.713091410794761,212.38335878314726,50.369939467684056,21.16376877126281,0.8418139646562656,23.17971715388149,24.17153522805871,56.72197235920093,0.18472299721004384,1.97692741766014,0.08329308304418552,1.97692741766014,MEIC_1990_2023
Jilin,1992,81.045,558.06,2532.0,1081.4580607349276,557.2367649722955,229.54033583532362,9.301942814131376,244.65996523436283,51.52643317426601,21.225079748292284,0.8601297777382181,22.623157949194905,26.517701751670323,55.96758499096043,0.22040284360189571,1.9378885079291253,0.0749404927870473,1.9378885079291253,MEIC_1990_2023
Jilin,1993,89.756,718.58,2555.0,1267.317164430313,666.0980998822611,269.720777852098,11.180550139292043,280.6098096204405,52.55970001650588,21.282815811410828,0.8822219451527706,22.1420349614361,28.85784368243564,55.27883322796036,0.28124461839530335,1.763641020387866,0.07082362846426633,1.763641020387866,MEIC_1990_2023
Jilin,1994,92.865,936.78,2574.0,1474.4812601188983,788.3971374499835,314.6094020594752,13.393553723555387,320.4536376604392,53.4694579561092,21.33695493926494,0.9083569988861959,21.733313696682632,31.163284060536533,54.65662133847625,0.36393939393939395,1.5739888342181712,0.06298147186523863,1.5739888342181712,MEIC_1990_2023
Jilin,1995,94.94,1137.23,2592.0,1703.2229602827044,924.0988230520097,364.2764107448888,15.9908002356182,364.3937767119309,54.25589277510831,21.387476521830436,0.9388553705830748,21.394367338228466,33.40714979909946,54.101656376125035,0.43874614197530865,1.4976943628665305,0.05574138102520745,1.4976943628665305,MEIC_1990_2023
Jilin,1996,101.615,1337.16,2610.0,1953.358937962049,1072.774812801685,418.6900134381565,19.027626054274513,412.60771325770924,54.91949236533647,21.434361360896542,0.9740977802126909,21.122984887159824,40.6,53.61448037210625,0.5123218390804598,1.4608266310404505,0.05202064916241944,1.4608266310404505,MEIC_1990_2023
Jilin,1997,101.105,1446.91,2628.0,3223.720425,2136.8275420000004,532.733697,32.18600000000001,521.9731859999999,66.28451789518938,16.525431078596093,0.9984116411087356,16.1916393851058,39.8,53.19549991592228,0.5505745814307459,2.22800341762791,0.03136283134726238,2.22800341762791,MEIC_1990_2023
Jilin,1998,86.441,1557.78,2644.0,2837.257085200001,1536.409916,715.1117279999999,37.373000000000005,548.3624411999999,54.151240788661106,25.20433314732884,1.317222897951299,19.32720316605872,38.3,52.84501270027936,0.5891754916792739,1.8213464579080492,0.0304663967360951,1.8213464579080492,MEIC_1990_2023
Jilin,1999,89.484,1669.56,2658.0,2658.1756563999998,1438.163153,587.860603,34.979000000000006,597.1729004000001,54.10339040376745,22.115190227727346,1.3159025031239846,22.465516865381225,40.23455,52.563230717940876,0.6281264108352145,1.5921414363065718,0.03366368952501404,1.5921414363065718,MEIC_1990_2023
Jilin,2000,88.61,1821.19,2682.0,2796.3896374000005,1551.8574080000003,583.6419229999999,32.452000000000005,628.4383064,55.49503499958865,20.871266120934877,1.1604963616648538,22.473202517811615,43.9427,52.35029988727121,0.679041759880686,1.5354738590701686,0.0316872866409228,1.5354738590701686,MEIC_1990_2023
Jilin,2001,94.993,2120.35,2691.0,2832.6385556,1530.4309289999999,585.3104630000001,32.31900000000002,684.5781635999999,54.02845788335424,20.663083252992777,1.140950367144682,24.1675084965083,43.3,52.20631595501099,0.7879412857673727,1.3359297076426062,0.033535164524327706,1.3359297076426062,MEIC_1990_2023
Jilin,2002,103.179,2348.54,2699.0,2984.1503266,1559.4588469999999,626.394204,37.90500000000001,760.3922755999998,52.258052588683555,20.990705408386177,1.2702108088229984,25.481031194107267,43.5,52.13133657575793,0.8701519081141164,1.2706406220886168,0.03457567103114315,1.2706406220886168,MEIC_1990_2023
Jilin,2003,108.323,2662.08,2704.0,3936.6745692,2289.659047,818.4485610000002,38.703,789.8639612000001,58.16226377750341,20.790353548739564,0.98313943201724,20.064243241739792,45.32549,52.12538950676451,0.9844970414201183,1.4787964934186801,0.027516371520141452,1.4787964934186801,MEIC_1990_2023
Jilin,2004,116.88,3122.01,2709.0,3615.0499057999996,1861.3956440000004,796.422561,51.87000000000001,905.3617008000001,51.490178351717084,22.030748724166067,1.4348349635997995,25.04423796051707,46.62651,52.18847688322373,1.1524584717607975,1.1579238714161708,0.03233150386457384,1.1579238714161708,MEIC_1990_2023
Jilin,2005,145.74,3620.27,2716.0,4629.0637228000005,2325.145662000001,1235.7081099999998,70.49000000000005,997.7199507999999,50.22928611994955,26.69455820868571,1.5227701371404425,21.553385534224294,43.6,52.52,1.332941826215022,1.2786515157156788,0.03148368843621052,1.2786515157156788,MEIC_1990_2023
Jilin,2006,160.918,4275.12,2723.0,5359.33695008,2825.4620919999998,1442.6389730000003,70.49000000000005,1020.7458850799999,52.720366685618146,26.918236088486015,1.3152746441693282,19.046122581726515,44.8,52.97,1.5700036724201247,1.2536108811167874,0.03002572920846075,1.2536108811167874,MEIC_1990_2023
Jilin,2007,170.977,5284.69,2730.0,5957.7599666000015,2935.8397000000004,1696.9794866,77.14000000000004,1247.8007800000003,49.277576076557466,28.48351555137323,1.2947819387228956,20.944126433346394,46.8,53.16,1.9357838827838827,1.1273622419858123,0.028698202169694636,1.1273622419858123,MEIC_1990_2023
