level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Henan,11,2035,29763.18815682042,33379.355524697545
province,baseline,Hubei,12,2024,19618.54009469129,32825.25801628192
province,baseline,Hubei,12,2025,20413.723197817315,34018.35443929585
province,baseline,Hubei,12,2026,21243.446443372806,35279.530383806356
province,baseline,Hubei,12,2027,22108.985244542335,36590.48923113886
province,baseline,Hubei,12,2028,22895.12358330049,37760.59229382482
province,baseline,Hubei,12,2029,23579.37793468849,38001.595197181254
province,baseline,Hubei,12,2030,24280.069471170325,38216.95965051569
province,baseline,Hubei,12,2031,24853.176588127117,38163.42868846361
province,baseline,Hubei,12,2032,25388.825424443316,38009.746796144645
province,baseline,Hubei,12,2033,25900.453158525437,37779.83499862612
province,baseline,Hubei,12,2034,26397.30962564103,37489.60079573843
province,baseline,Hubei,12,2035,26886.18623232402,37150.13211555161
province,baseline,Hunan,13,2024,17970.47462039054,31046.265125744154
province,baseline,Hunan,13,2025,18682.939335712235,32151.40174575579
province,baseline,Hunan,13,2026,19426.0115858949,33319.03526811918
province,baseline,Hunan,13,2027,20200.7681812609,34532.33104839185
province,baseline,Hunan,13,2028,20901.92228344036,35611.364371556316
province,baseline,Hunan,13,2029,21509.435976023844,35836.79235074864
province,baseline,Hunan,13,2030,22131.400405181434,36040.01909261775
province,baseline,Hunan,13,2031,22510.999263173526,35792.631334296006
province,baseline,Hunan,13,2032,22894.32396977129,35521.83328778527
province,baseline,Hunan,13,2033,23281.95829780755,35228.07848681781
province,baseline,Hunan,13,2034,23674.24971729485,34911.38221541436
province,baseline,Hunan,13,2035,24071.68067811746,34571.900175653966
province,baseline,InnerMongolia,14,2024,28315.369202794966,41552.16202979357
province,baseline,InnerMongolia,14,2025,29422.012600153466,42978.1259687124
province,baseline,InnerMongolia,14,2026,30575.562580200225,44488.27878922245
province,baseline,InnerMongolia,14,2027,31778.398289120854,46056.66516544521
province,baseline,InnerMongolia,14,2028,32864.93714645333,47443.406441189145
province,baseline,InnerMongolia,14,2029,33804.06398342278,47526.73306382987
province,baseline,InnerMongolia,14,2030,34765.77589255146,47570.26553767577
province,baseline,InnerMongolia,14,2031,35234.486870032815,46856.840177605576
province,baseline,InnerMongolia,14,2032,35747.76192502099,46164.921319138215
province,baseline,InnerMongolia,14,2033,36295.528267843336,45476.74772040953
province,baseline,InnerMongolia,14,2034,36869.99155923563,44778.87452929967
province,baseline,InnerMongolia,14,2035,37466.03494153021,44062.20453489058
province,baseline,Jiangsu,15,2024,39215.047504973154,49618.68480477033
province,baseline,Jiangsu,15,2025,40727.8527853507,51258.734448002084
province,baseline,Jiangsu,15,2026,42303.334848761784,52999.60922094168
province,baseline,Jiangsu,15,2027,43944.351944490656,54804.19099207448
province,baseline,Jiangsu,15,2028,45421.75728058471,56386.8907320824
province,baseline,Jiangsu,15,2029,46693.368128329974,56207.93905555118
province,baseline,Jiangsu,15,2030,47994.38247976003,55967.54873607396
province,baseline,Jiangsu,15,2031,48406.35553663848,54586.737300443936
province,baseline,Jiangsu,15,2032,48936.19580365829,53302.62929298229
